L0 Domain,L1 Sub-Domain,L2 Category,L3 Sub-Category,L4 Product Enum-Code,Brand,Product Name,Product Description,Product Quantity,UOM,Net Quantity,Pack Quantity,Pack Size,MRP,Price,Manufacturer,Country Of Origin,UPC/EAN,FSSAI no,Images,Images / Video,Images.3,Images.4,Images.5,Images.6,Images.7,Images.8,Images.9,Images.10,SKU Code,Customer Care Contact,Time to Ship,Returnable (Y/N),Cancellable (Y/N),COD available (Y/N),Preservatives (Y/N),Preservatives (details),Flavours & Spices,Ready to cook (Y/N),Ready to eat (Y/N),Rice grain type,Recommended Age,Scented/ Flavour,Herbal/ Ayurvedic,Theme/ Occasion Type,Hair Type,Mineral Source,Caffeine Content,Capacity,Usage,Other details,Marketed By,Baby Weight,Absorption Duration (in Hrs),Features,Ingredients,Ingredient,Package Contains,About
RET,RET-10,RET-10-18,RET-10-18-10,RET-10-18-10-13,HappyChef,"HappyChef Pasta - Fusilli Whole Wheat, 2x500 g Multipack","Happy ChefÂÂÂ¬ÂÂs Whole Wheat Fusilli Pasta is here to satisfy all your Italian cuisine cravings. From the shape to the perfect al dente texture, you can have it all and show off your chef skills. This pasta is made from durum wheat and semolina and no added maida to give you a guilt-free experience so you can enjoy this beloved food. Our range of pasta is prepared hygienically and packed in a spick and span facility. It is created with love using a slow drying process to give you the ultimate texture experience in every bite. Happy Chef is delighted to give you a healthier option to enjoy all kinds of food with your loved ones.",2x500 g Multipack,pcs,2x500 g Multipack,1,1,398,200.78,"Gustora Foods Pvt. Ltd. B 227, Industrial Area (Extn) Phase II, Bagru, Jaipur, Rajasthan 303 007",India,['1213501'],['10019043002767'],https://datalabs.siva3.io/image/Eunimart_groceries_213501_2-happychef-pasta-fusilli-whole-wheat.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_213501-2_1-happychef-pasta-fusilli-whole-wheat.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_213501-3_1-happychef-pasta-fusilli-whole-wheat.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_213501-4_1-happychef-pasta-fusilli-whole-wheat.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_213501-5_1-happychef-pasta-fusilli-whole-wheat.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_213501-6_1-happychef-pasta-fusilli-whole-wheat.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Step 1 - Use 5 litres of water for 500g of pasta. (Add salt as per your preference to flavour the pasta).
Step 2 - Add pasta to the boiling water and stir occasionally. Follow the cooking time shown on the pack.
Step 3 - Once cooked, drain the hot water and rinse it gently with cold water to keep the texture and avoid stickiness.
Step 4 - Add the desired sauce and your choice of cooked veggies. Stir it gently till the pasta and sauce combine well.
Note: If you prefer to cook the pasta in the pan, drain the water a few minutes before the shown cooking time to avoid overcooking.","['EAN Code: 1213501', 'Country Of Origin: India', 'Manufacturer Name and : Gustora Foods Pvt. Ltd. B 227, Industrial Area (Extn) Phase II, Bagru, Jaipur, Rajasthan 303 007', 'FSSAI Number: 10013013000567', 'Marketed by: Supermarket Grocery Supplies Private Limited, Fairway Business Park, EGL, Challaghatta, Domlur, Bengaluru, 560071', 'FSSAI Number: 10019043002767', 'Best before 26-02-2024', '","Supermarket Grocery Supplies Private Limited, Fairway Business Park, EGL, Challaghatta, Domlur, Bengaluru, 560071",-,-,-,Durum Whole Wheat & Semolina,-,-,-
RET,RET-10,RET-10-18,RET-10-18-10,RET-10-18-10-13,HappyChef,"HappyChef Pasta - Fusilli Whole Wheat, 2x500 g Multipack","Happy ChefÂÂÂ¬ÂÂs Whole Wheat Fusilli Pasta is here to satisfy all your Italian cuisine cravings. From the shape to the perfect al dente texture, you can have it all and show off your chef skills. This pasta is made from durum wheat and semolina and no added maida to give you a guilt-free experience so you can enjoy this beloved food. Our range of pasta is prepared hygienically and packed in a spick and span facility. It is created with love using a slow drying process to give you the ultimate texture experience in every bite. Happy Chef is delighted to give you a healthier option to enjoy all kinds of food with your loved ones.",2x500 g Multipack,pcs,2x500 g Multipack,1,1,398,200.78,"Gustora Foods Pvt. Ltd. B 227, Industrial Area (Extn) Phase II, Bagru, Jaipur, Rajasthan 303 007",India,['1213501'],['10019043002767'],https://datalabs.siva3.io/image/Eunimart_groceries_213501_2-happychef-pasta-fusilli-whole-wheat.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_213501-2_1-happychef-pasta-fusilli-whole-wheat.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_213501-3_1-happychef-pasta-fusilli-whole-wheat.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_213501-4_1-happychef-pasta-fusilli-whole-wheat.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_213501-5_1-happychef-pasta-fusilli-whole-wheat.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_213501-6_1-happychef-pasta-fusilli-whole-wheat.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Step 1 - Use 5 litres of water for 500g of pasta. (Add salt as per your preference to flavour the pasta).
Step 2 - Add pasta to the boiling water and stir occasionally. Follow the cooking time shown on the pack.
Step 3 - Once cooked, drain the hot water and rinse it gently with cold water to keep the texture and avoid stickiness.
Step 4 - Add the desired sauce and your choice of cooked veggies. Stir it gently till the pasta and sauce combine well.
Note: If you prefer to cook the pasta in the pan, drain the water a few minutes before the shown cooking time to avoid overcooking.","['EAN Code: 1213501', 'Country Of Origin: India', 'Manufacturer Name and : Gustora Foods Pvt. Ltd. B 227, Industrial Area (Extn) Phase II, Bagru, Jaipur, Rajasthan 303 007', 'FSSAI Number: 10013013000567', 'Marketed by: Supermarket Grocery Supplies Private Limited, Fairway Business Park, EGL, Challaghatta, Domlur, Bengaluru, 560071', 'FSSAI Number: 10019043002767', 'Best before 26-02-2024', '","Supermarket Grocery Supplies Private Limited, Fairway Business Park, EGL, Challaghatta, Domlur, Bengaluru, 560071",-,-,-,Durum Whole Wheat & Semolina,-,-,-
RET,RET-10,RET-10-18,RET-10-18-10,RET-10-18-10-13,HappyChef,"HappyChef Pasta - Multi-Millet, 2x500 g Multipack","Happy ChefÂÂÂ¬ÂÂs Healthy Multi-Millet Pasta is here to satisfy all your Italian cuisine cravings. From the shape to the perfect al dente texture, you can have it all and show off your chef skills. This pasta is made from durum wheat, semolina and handpicked wholesome millets - Bajra, Jowar and Ragi. It has no added maida to give you a guilt-free experience so you can enjoy this beloved food. Our range of pasta is prepared hygienically and packed in a spick and span facility. It is created with love using premium quality ingredients and a hot air drying process to give you the ultimate texture experience in every bite. The pasta is made using an artisan method to give it an authentic traditional taste. Happy Chef is delighted to give you a healthier option to enjoy all kinds of food with your loved ones.",2x500 g Multipack,pcs,2x500 g Multipack,1,1,518,267.01,"Gustora Foods Pvt. Ltd. B 227, Industrial Area (Extn) Phase II, Bagru, Jaipur, Rajasthan 303 007",India,['1213503'],['10019043002767'],https://datalabs.siva3.io/image/Eunimart_groceries_213503_2-happychef-pasta-multi-millet.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_213503-2_1-happychef-pasta-multi-millet.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_213503-3_1-happychef-pasta-multi-millet.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_213503-4_1-happychef-pasta-multi-millet.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_213503-5_1-happychef-pasta-multi-millet.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_213503-6_1-happychef-pasta-multi-millet.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Step 1 - Use 1 litre of water for 100g of pasta. (Add salt as per your preference to flavour the pasta).
Step 2 - Add pasta to the boiling water and stir occasionally. Follow the cooking time shown on the pack.
Step 3 - Once cooked, drain the hot water and rinse it gently with cold water to keep the texture and avoid stickiness.
Step 4 - Add the desired sauce and your choice of cooked veggies. Stir it gently till the pasta and sauce combine well.
Note:  If you prefer to cook the pasta in the pan, drain the water a few minutes before the shown cooking time to avoid overcooking.","['EAN Code: 1213503', 'Country Of Origin: India', 'Manufacturer Name and : Gustora Foods Pvt. Ltd. B 227, Industrial Area (Extn) Phase II, Bagru, Jaipur, Rajasthan 303 007', 'FSSAI Number: 10013013000567', 'Marketed by: Supermarket Grocery Supplies Private Limited, Fairway Business Park, EGL, Challaghatta, Domlur, Bengaluru, 560071', 'FSSAI Number: 10019043002767', 'Best before 02-09-2023', '","Supermarket Grocery Supplies Private Limited, Fairway Business Park, EGL, Challaghatta, Domlur, Bengaluru, 560071",-,-,-,"Durum Wheat, Semolina. Bajra, Jowar, Ragi And Water",-,-,-
RET,RET-10,RET-10-18,RET-10-18-10,RET-10-18-10-13,HappyChef,"HappyChef Pasta - Multi-Millet, 2x500 g Multipack","Happy ChefÂÂÂ¬ÂÂs Healthy Multi-Millet Pasta is here to satisfy all your Italian cuisine cravings. From the shape to the perfect al dente texture, you can have it all and show off your chef skills. This pasta is made from durum wheat, semolina and handpicked wholesome millets - Bajra, Jowar and Ragi. It has no added maida to give you a guilt-free experience so you can enjoy this beloved food. Our range of pasta is prepared hygienically and packed in a spick and span facility. It is created with love using premium quality ingredients and a hot air drying process to give you the ultimate texture experience in every bite. The pasta is made using an artisan method to give it an authentic traditional taste. Happy Chef is delighted to give you a healthier option to enjoy all kinds of food with your loved ones.",2x500 g Multipack,pcs,2x500 g Multipack,1,1,518,267.01,"Gustora Foods Pvt. Ltd. B 227, Industrial Area (Extn) Phase II, Bagru, Jaipur, Rajasthan 303 007",India,['1213503'],['10019043002767'],https://datalabs.siva3.io/image/Eunimart_groceries_213503_2-happychef-pasta-multi-millet.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_213503-2_1-happychef-pasta-multi-millet.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_213503-3_1-happychef-pasta-multi-millet.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_213503-4_1-happychef-pasta-multi-millet.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_213503-5_1-happychef-pasta-multi-millet.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_213503-6_1-happychef-pasta-multi-millet.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Step 1 - Use 1 litre of water for 100g of pasta. (Add salt as per your preference to flavour the pasta).
Step 2 - Add pasta to the boiling water and stir occasionally. Follow the cooking time shown on the pack.
Step 3 - Once cooked, drain the hot water and rinse it gently with cold water to keep the texture and avoid stickiness.
Step 4 - Add the desired sauce and your choice of cooked veggies. Stir it gently till the pasta and sauce combine well.
Note:  If you prefer to cook the pasta in the pan, drain the water a few minutes before the shown cooking time to avoid overcooking.","['EAN Code: 1213503', 'Country Of Origin: India', 'Manufacturer Name and : Gustora Foods Pvt. Ltd. B 227, Industrial Area (Extn) Phase II, Bagru, Jaipur, Rajasthan 303 007', 'FSSAI Number: 10013013000567', 'Marketed by: Supermarket Grocery Supplies Private Limited, Fairway Business Park, EGL, Challaghatta, Domlur, Bengaluru, 560071', 'FSSAI Number: 10019043002767', 'Best before 02-09-2023', '","Supermarket Grocery Supplies Private Limited, Fairway Business Park, EGL, Challaghatta, Domlur, Bengaluru, 560071",-,-,-,"Durum Wheat, Semolina. Bajra, Jowar, Ragi And Water",-,-,-
RET,RET-10,RET-10-18,RET-10-18-10,RET-10-18-10-13,HappyChef,"HappyChef Pasta - Penne Whole Wheat, 2x500 g Multipack","Perfectly healthy and equally delicious, HappyChef 100% Durum Whole Wheat Penne Pasta is bound to be hit at the dinner table! Made with durum whole wheat instead of the usual maida, this pasta has a number of health benefits. It is gluten free, chemical free, and contains no added preservatives or trans fat, but still makes for easy, gourmet-style cooking. Lip-smackingly good, this penne pasta carries with it the authentic taste of Italy. Explore HappyChef products including their line of healthy pastas on BigBasket!
Features
Uses 100% durum whole wheat | 0% maida | Gluten free | Chemical and preservative free | No trans fat",2x500 g Multipack,pcs,2x500 g Multipack,1,1,398,200.78,"Gustora Foods Pvt. Ltd. B 227, Industrial Area (Extn) Phase II, Bagru, Jaipur, Rajasthan 303 007",India,['1213500'],['10019043002767'],https://datalabs.siva3.io/image/Eunimart_groceries_213500_2-happychef-pasta-penne-whole-wheat.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_213500-2_1-happychef-pasta-penne-whole-wheat.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_213500-3_1-happychef-pasta-penne-whole-wheat.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_213500-4_1-happychef-pasta-penne-whole-wheat.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_213500-5_1-happychef-pasta-penne-whole-wheat.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_213500-6_1-happychef-pasta-penne-whole-wheat.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Step 1 - Use 5 litres of water for 500g of pasta. (Add salt as per your preference to flavour the pasta).
Step 2 - Add pasta to the boiling water and stir occasionally. Follow the cooking time shown on the pack.
Step 3 - Once cooked, drain the hot water and rinse it gently with cold water to keep the texture and avoid stickiness.
Step 4 - Add the desired sauce and your choice of cooked veggies. Stir it gently till the pasta and sauce combine well.
Note: If you prefer to cook the pasta in the pan, drain the water a few minutes before the shown cooking time to avoid overcooking.","['EAN Code: 1213500', 'Country Of Origin: India', 'Manufacturer Name and : Gustora Foods Pvt. Ltd. B 227, Industrial Area (Extn) Phase II, Bagru, Jaipur, Rajasthan 303 007', 'FSSAI Number: 10013013000567', 'Marketed by: Supermarket Grocery Supplies Private Limited, Fairway Business Park, EGL, Challaghatta, Domlur, Bengaluru, 560071', 'FSSAI Number: 10019043002767', 'Best before 26-02-2024', '","Supermarket Grocery Supplies Private Limited, Fairway Business Park, EGL, Challaghatta, Domlur, Bengaluru, 560071",-,-,-,Durum Whole Wheat & Semolina,-,-,-
RET,RET-10,RET-10-18,RET-10-18-10,RET-10-18-10-13,HappyChef,"HappyChef Pasta - Penne Whole Wheat, 2x500 g Multipack","Perfectly healthy and equally delicious, HappyChef 100% Durum Whole Wheat Penne Pasta is bound to be hit at the dinner table! Made with durum whole wheat instead of the usual maida, this pasta has a number of health benefits. It is gluten free, chemical free, and contains no added preservatives or trans fat, but still makes for easy, gourmet-style cooking. Lip-smackingly good, this penne pasta carries with it the authentic taste of Italy. Explore HappyChef products including their line of healthy pastas on BigBasket!
Features
Uses 100% durum whole wheat | 0% maida | Gluten free | Chemical and preservative free | No trans fat",2x500 g Multipack,pcs,2x500 g Multipack,1,1,398,200.78,"Gustora Foods Pvt. Ltd. B 227, Industrial Area (Extn) Phase II, Bagru, Jaipur, Rajasthan 303 007",India,['1213500'],['10019043002767'],https://datalabs.siva3.io/image/Eunimart_groceries_213500_2-happychef-pasta-penne-whole-wheat.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_213500-2_1-happychef-pasta-penne-whole-wheat.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_213500-3_1-happychef-pasta-penne-whole-wheat.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_213500-4_1-happychef-pasta-penne-whole-wheat.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_213500-5_1-happychef-pasta-penne-whole-wheat.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_213500-6_1-happychef-pasta-penne-whole-wheat.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Step 1 - Use 5 litres of water for 500g of pasta. (Add salt as per your preference to flavour the pasta).
Step 2 - Add pasta to the boiling water and stir occasionally. Follow the cooking time shown on the pack.
Step 3 - Once cooked, drain the hot water and rinse it gently with cold water to keep the texture and avoid stickiness.
Step 4 - Add the desired sauce and your choice of cooked veggies. Stir it gently till the pasta and sauce combine well.
Note: If you prefer to cook the pasta in the pan, drain the water a few minutes before the shown cooking time to avoid overcooking.","['EAN Code: 1213500', 'Country Of Origin: India', 'Manufacturer Name and : Gustora Foods Pvt. Ltd. B 227, Industrial Area (Extn) Phase II, Bagru, Jaipur, Rajasthan 303 007', 'FSSAI Number: 10013013000567', 'Marketed by: Supermarket Grocery Supplies Private Limited, Fairway Business Park, EGL, Challaghatta, Domlur, Bengaluru, 560071', 'FSSAI Number: 10019043002767', 'Best before 26-02-2024', '","Supermarket Grocery Supplies Private Limited, Fairway Business Park, EGL, Challaghatta, Domlur, Bengaluru, 560071",-,-,-,Durum Whole Wheat & Semolina,-,-,-
RET,RET-10,RET-10-18,RET-10-18-10,RET-10-18-10-13,HappyChef,"HappyChef Pasta - Quinoa, 2x500 g Multipack","Happy ChefÂÂÂ¬ÂÂs Healthy Quinoa Pasta is here to satisfy all your Italian cuisine cravings. From the shape to the perfect al dente texture, you can have it all and show off your chef skills. This pasta is made from durum wheat, semolina and nutritious quinoa. It has no added maida to give you a guilt-free experience so you can enjoy this beloved food. Our range of pasta is prepared hygienically and packed in a spick and span facility. It is created with love using premium quality ingredients and a hot air drying process to give you the ultimate texture experience in every bite. The pasta is made using an artisan method to give it an authentic traditional taste. Happy Chef is delighted to give you a healthier option to enjoy all kinds of food with your loved ones.",2x500 g Multipack,pcs,2x500 g Multipack,1,1,490,267.01,"Gustora Foods Pvt. Ltd. B 227, Industrial Area (Extn) Phase II, Bagru, Jaipur, Rajasthan 303 007",India,['1213504'],['10019043002767'],https://datalabs.siva3.io/image/Eunimart_groceries_213504_2-happychef-pasta-quinoa.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_213504-2_1-happychef-pasta-quinoa.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_213504-3_1-happychef-pasta-quinoa.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_213504-4_1-happychef-pasta-quinoa.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_213504-5_1-happychef-pasta-quinoa.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_213504-6_1-happychef-pasta-quinoa.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Step 1 - Use 1 litre of water for 100g of pasta. (Add salt as per your preference to flavour the pasta).
Step 2 - Add pasta to the boiling water and stir occasionally. Follow the cooking time shown on the pack.
Step 3 - Once cooked, drain the hot water and rinse it gently with cold water to keep the texture and avoid stickiness.
Step 4 - Add the desired sauce and your choice of cooked veggies. Stir it gently till the pasta and sauce combine well.
Note: If you prefer to cook the pasta in the pan, drain the water a few minutes before the shown cooking time to avoid overcooking.","['EAN Code: 1213504', 'Country Of Origin: India', 'Manufacturer Name and : Gustora Foods Pvt. Ltd. B 227, Industrial Area (Extn) Phase II, Bagru, Jaipur, Rajasthan 303 007', 'FSSAI Number: 10013013000567', 'Marketed by: Supermarket Grocery Supplies Private Limited, Fairway Business Park, EGL, Challaghatta, Domlur, Bengaluru, 560071', 'FSSAI Number: 10019043002767', 'Best before 02-09-2023', '","Supermarket Grocery Supplies Private Limited, Fairway Business Park, EGL, Challaghatta, Domlur, Bengaluru, 560071",-,-,-,"Durum Wheat, Semolina, Quinoa And Water",-,-,-
RET,RET-10,RET-10-18,RET-10-18-10,RET-10-18-10-13,HappyChef,"HappyChef Pasta - Quinoa, 2x500 g Multipack","Happy ChefÂÂÂ¬ÂÂs Healthy Quinoa Pasta is here to satisfy all your Italian cuisine cravings. From the shape to the perfect al dente texture, you can have it all and show off your chef skills. This pasta is made from durum wheat, semolina and nutritious quinoa. It has no added maida to give you a guilt-free experience so you can enjoy this beloved food. Our range of pasta is prepared hygienically and packed in a spick and span facility. It is created with love using premium quality ingredients and a hot air drying process to give you the ultimate texture experience in every bite. The pasta is made using an artisan method to give it an authentic traditional taste. Happy Chef is delighted to give you a healthier option to enjoy all kinds of food with your loved ones.",2x500 g Multipack,pcs,2x500 g Multipack,1,1,490,267.01,"Gustora Foods Pvt. Ltd. B 227, Industrial Area (Extn) Phase II, Bagru, Jaipur, Rajasthan 303 007",India,['1213504'],['10019043002767'],https://datalabs.siva3.io/image/Eunimart_groceries_213504_2-happychef-pasta-quinoa.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_213504-2_1-happychef-pasta-quinoa.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_213504-3_1-happychef-pasta-quinoa.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_213504-4_1-happychef-pasta-quinoa.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_213504-5_1-happychef-pasta-quinoa.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_213504-6_1-happychef-pasta-quinoa.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Step 1 - Use 1 litre of water for 100g of pasta. (Add salt as per your preference to flavour the pasta).
Step 2 - Add pasta to the boiling water and stir occasionally. Follow the cooking time shown on the pack.
Step 3 - Once cooked, drain the hot water and rinse it gently with cold water to keep the texture and avoid stickiness.
Step 4 - Add the desired sauce and your choice of cooked veggies. Stir it gently till the pasta and sauce combine well.
Note: If you prefer to cook the pasta in the pan, drain the water a few minutes before the shown cooking time to avoid overcooking.","['EAN Code: 1213504', 'Country Of Origin: India', 'Manufacturer Name and : Gustora Foods Pvt. Ltd. B 227, Industrial Area (Extn) Phase II, Bagru, Jaipur, Rajasthan 303 007', 'FSSAI Number: 10013013000567', 'Marketed by: Supermarket Grocery Supplies Private Limited, Fairway Business Park, EGL, Challaghatta, Domlur, Bengaluru, 560071', 'FSSAI Number: 10019043002767', 'Best before 02-09-2023', '","Supermarket Grocery Supplies Private Limited, Fairway Business Park, EGL, Challaghatta, Domlur, Bengaluru, 560071",-,-,-,"Durum Wheat, Semolina, Quinoa And Water",-,-,-
RET,RET-10,RET-10-18,RET-10-18-10,RET-10-18-10-13,Japanese Choice,"Japanese Choice Rice - Jasmine, 1 kg","Grade A Jasmine Rice Riz A Sushi De Classe A.Jasmine Rice,Also Known As Japonica,Is A White Variety,Short Grain With Characteristically Sticky Texture.",1 kg,kg,1 kg,1,1,575,575,"YAN WAL YUN CORPORATION GROUP CO., LTD. Head Office : 767 Wat Phai Ngoen Rd., Sathorn, Bangkok 10120",Thailand,['20004954'],-,https://datalabs.siva3.io/image/Eunimart_groceries_20004954_1-japanese-choice-rice-jasmine.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"[{'EAN Code': '20004954'}, {'Manufactured by': 'YAN WAL YUN CORPORATION GROUP CO., LTD. Head Office : 767 Wat Phai Ngoen Rd., Sathorn, Bangkok 10120'}, {'Marketed by': 'Mapleleaf Distribution Pvt. Ltd., Unit No. 10, Bldg. No. X1, Shri Arihant Compound, Village Kalher, Taluka Bhiwandi, District Thane, Maharashtra 421302, India.'}, {'Country of Origin': 'Bangkok, Thailand'}]","Mapleleaf Distribution Pvt. Ltd., Unit No. 10, Bldg. No. X1, Shri Arihant Compound, Village Kalher, Taluka Bhiwandi, District Thane, Maharashtra 421302, India.",-,-,-,-,-,-,-
RET,RET-10,RET-10-18,RET-10-18-10,RET-10-18-10-13,Kab's Jackpot,"Kab's Jackpot 2x Hot & Spicy Instant Noodles - With Dehydrated Vegetables, 100 g (Pack of 5)","A jackpot in the real sense. Kab's 2x Hot & Spicy Instant Noodles is the genuine game changer. If you are a fan of noodles, especially authentic and prefer spiciness over anything, this one is for you. Getting its hotness from selected red chillies, pepper and garlic, this instant comfort food is prepared in minutes. This noodle has been curated to provide the consumers with an authentic hot & spicy Korean taste. It has a unique spicy taste and will satisfy your hunger. Be it your midnight craving, this one will always accompany you with the best taste. Explore the range of Kab's for more noodle types.",100 g (Pack of 5),pcs,100 g (Pack of 5),5,1,250,250,"Kwality Noodles IND (Pvt) Ltd, Budhiganga-5, (Hattimuda), Morang, Nepal",Nepal,['8907892000595'],['10012011000629'],https://datalabs.siva3.io/image/Eunimart_groceries_40287422_1-kabs-jackpot-2x-hot-spicy-instant-noodles-with-dehydrated-vegetables.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40287422-2_1-kabs-jackpot-2x-hot-spicy-instant-noodles-with-dehydrated-vegetables.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40287422-3_1-kabs-jackpot-2x-hot-spicy-instant-noodles-with-dehydrated-vegetables.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40287422-4_1-kabs-jackpot-2x-hot-spicy-instant-noodles-with-dehydrated-vegetables.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40287422-5_1-kabs-jackpot-2x-hot-spicy-instant-noodles-with-dehydrated-vegetables.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40287422-6_1-kabs-jackpot-2x-hot-spicy-instant-noodles-with-dehydrated-vegetables.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40287422-7_1-kabs-jackpot-2x-hot-spicy-instant-noodles-with-dehydrated-vegetables.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"[{'EAN Code': '__8907892000595__'}, {'Manufactured by': 'Kwality Noodles IND (Pvt) Ltd, Budhiganga-5, (Hattimuda), Morang, Nepal'}, {'Marketed by': 'Rama Vision Ltd. Rama House, 23,Najafgarh Road Industrial Area, Shivaji Marg, New Delhi - 110015, India.'}, {'Fssai details': '10012011000629'}, {'Country of Origin': 'Nepal'}, {'For Queries/Complaints, Contact our Customer Care Executive at': 'Phone: 011-41538566 | : Rama Vision Ltd. Rama House, 23,Najafgarh Road Industrial Area, Shivaji Marg, New Delhi - 110015, India. Email:sales@ramavisionltd.com'}]","Rama Vision Ltd. Rama House, 23,Najafgarh Road Industrial Area, Shivaji Marg, New Delhi - 110015, India.",-,-,-,"Wheat Flour, Potato Starch, Vegetable Oil, Raising Agent (Sodium Bi Carbonate, Emulsifiers (Sodium Triphosphate, Carboxy Methyl Cellulose), Potassium Chloride and Salt.
Hot & Spicy Taste Maker: Mix Spices, Chilly, Pepper, Garlic, Paprika Oil, Salt, Suger, Chicken Powder & Flavour Enhancers (Mono Sodium Glutamate, Disodium Glutamate, Disodium Inosinate, Starch Powder, Green Capsicum Powder, Encapsulated Capsicum Powder & Silicon Di-Oxide.
Hot & Spicy Taste Maker Paste: Palmmolein & Paprika Oil Extract. Dehydrated Vegetables: Peas, Cabbage and Chives.",-,-,-
