L0 Domain,L1 Sub-Domain,L2 Category,L3 Sub-Category,L4 Product Enum-Code,Brand,Product Name,Product Description,Product Quantity,UOM,Net Quantity,Pack Quantity,Pack Size,MRP,Price,Manufacturer,Country Of Origin,UPC/EAN,FSSAI no,Images,Images / Video,Images.3,Images.4,Images.5,Images.6,Images.7,Images.8,SKU Code,Customer Care Contact,Time to Ship,Returnable (Y/N),Cancellable (Y/N),COD available (Y/N),Preservatives (Y/N),Preservatives (details),Flavours & Spices,Ready to cook (Y/N),Ready to eat (Y/N),Rice grain type,Recommended Age,Scented/ Flavour,Herbal/ Ayurvedic,Theme/ Occasion Type,Hair Type,Mineral Source,Caffeine Content,Capacity,Usage,Other details,Marketed By,Baby Weight,Absorption Duration (in Hrs),Ingredients
RET,RET-10,RET-10-11,RET-10-11-10,RET-10-11-10-11,Fresho Signature,"Fresho Signature Freshly Baked - Multigrain Lavash, 100 g",Fresho Signature Lavash- Multigrain is a healthy alternative to your junk. Lavash is a thin flatbread traditionally baked on a sajj or in a tandoor. This crispy lavash gives you a slight crunch as you take a bite of it with exquisite spreads like creamy hummus or mayonnaise. It goes great with soup or as an appetizer with cheese. Multigrains are known to be high in nutrients and fibre that support healthy digestion.,100 g,g,100 g,1,1,75,69,"Bliss Chocolates India Pvt. Ltd., No.21, 1st Main Road, MES Colony, Konena Agrahara, Bangalore - 560017., BLISS CHOCOLATES INDIA PRIVATE LIMITED, INDIPLEX - IV, UNIT NOS C AND D, SURVEY NO.12/9A, VILLAGE GHODBUNDER, MIRA ROAD EAST, Thane, Maharashtra 401104",India,['8904256701495'],"['10015043001314,10018022008102,10020043003172']",https://datalabs.siva3.io/image/Eunimart_groceries_40037497_15-fresho-signature-freshly-baked-multigrain-lavash.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40037497-2_12-fresho-signature-freshly-baked-multigrain-lavash.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40037497-3_10-fresho-signature-freshly-baked-multigrain-lavash.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40037497-4_10-fresho-signature-freshly-baked-multigrain-lavash.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40037497-5_10-fresho-signature-freshly-baked-multigrain-lavash.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40037497-6_3-fresho-signature-freshly-baked-multigrain-lavash.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40037497-7_2-fresho-signature-freshly-baked-multigrain-lavash.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Ready to eat.,"[{'EAN Code': '8904256701495'}, {'FSSAI Number': '10015043001314, 10018022008102, 10020043003172'}, {'Manufacturer Name & ': 'Bliss Chocolates India Pvt. Ltd., No.21, 1st Main Road, MES Colony, Konena Agrahara, Bangalore - 560017., BLISS CHOCOLATES INDIA PRIVATE LIMITED, INDIPLEX - IV, UNIT NOS C AND D, SURVEY NO.12/9A, VILLAGE GHODBUNDER, MIRA ROAD EAST, Thane, Maharashtra 401104'}, {'Marketed by': 'Innovative Retail Concepts Pvt. Ltd., Ranka Junction, No. 224, 4th Floor, Vijinapura, Old Madras Road, K. R. Puram, Bengaluru - 560016'}, {'Country of Origin': 'India'}]","Innovative Retail Concepts Pvt. Ltd., Ranka Junction, No. 224, 4th Floor, Vijinapura, Old Madras Road, K. R. Puram, Bengaluru - 560016",-,-,"Refined Wheat flour, Multigrain mix, Butter, Edible vegetable fat, Iodised salt."
RET,RET-10,RET-10-11,RET-10-11-10,RET-10-11-10-11,Fresho Signature,"Fresho Signature Freshly Baked - Multigrain Lavash, 2X100 g MultiPack",Fresho Signature Lavash- Multigrain- A healthy alternative to your junk. Lavash is a thin flatbread traditionally baked on a sajj or in a tandoor. This crispy lavash gives you a slight crunch as you take a bite of it with exquisite spreads like creamy hummus or mayonnaise. It goes great with soup or as an appetizer with cheese.,2X100 g MultiPack,g MultiPack,2X100 g MultiPack,1,1,150,117.3,"Bliss Chocolates India Pvt. Ltd., No.21, 1st Main Road, MES Colony, Konena Agrahara, Bangalore - 560017., BLISS CHOCOLATES INDIA PRIVATE LIMITED, INDIPLEX - IV, UNIT NOS C AND D, SURVEY NO.12/9A, VILLAGE GHODBUNDER, MIRA ROAD EAST, Thane, Maharashtra 401104",India,['1203332'],-,https://datalabs.siva3.io/image/Eunimart_groceries_203332_1-fresho-signature-freshly-baked-multigrain-lavash.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Ready to eat.,"[{'EAN Code': '1203332'}, {'Country of origin': 'India'}]",-,-,-,"Refined Wheat flour, Multigrain mix, Butter, Edible vegetable fat, Iodised salt."
RET,RET-10,RET-10-11,RET-10-11-10,RET-10-11-10-11,Fresho Signature,"Fresho Signature Freshly Baked - Plain Lavash, 100 g",Fresho Signature brings you exotic lavash that is sure to become one of your favourite evening snacks. Lavash is a thin flatbread traditionally baked on a sajj or in a tandoor. This crispy lavash gives you a slight crunch as you take a bite of it with exquisite spreads like creamy hummus or mayonnaise. It goes great with soup or as an appetizer with cheese.,100 g,g,100 g,1,1,99,69,"Bliss Chocolates India Pvt. Ltd., No.21, 1st Main Road, MES Colony, Konena Agrahara, Bangalore - 560017., BLISS CHOCOLATES INDIA PRIVATE LIMITED, INDIPLEX - IV, UNIT NOS C AND D, SURVEY NO.12/9A, VILLAGE GHODBUNDER, MIRA ROAD EAST, Thane, Maharashtra 401104",India,['8906043900364'],"['10015043001314,10018022008102,10020043003172']",https://datalabs.siva3.io/image/Eunimart_groceries_40037496_6-fresho-signature-freshly-baked-plain-lavash.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40037496-2_3-fresho-signature-freshly-baked-plain-lavash.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40037496-3_3-fresho-signature-freshly-baked-plain-lavash.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40037496-4_3-fresho-signature-freshly-baked-plain-lavash.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40037496-5_3-fresho-signature-freshly-baked-plain-lavash.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40037496-6_2-fresho-signature-freshly-baked-plain-lavash.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Ready to eat.,"[{'EAN Code': '8906043900364'}, {'FSSAI Number': '10015043001314, 10018022008102, 10020043003172'}, {'Manufacturer Name & ': 'Bliss Chocolates India Pvt. Ltd., No.21, 1st Main Road, MES Colony, Konena Agrahara, Bangalore - 560017., BLISS CHOCOLATES INDIA PRIVATE LIMITED, INDIPLEX - IV, UNIT NOS C AND D, SURVEY NO.12/9A, VILLAGE GHODBUNDER, MIRA ROAD EAST, Thane, Maharashtra 401104'}, {'Marketed by': 'Innovative Retail Concepts Pvt. Ltd., Ranka Junction, No. 224, 4th Floor, Vijinapura, Old Madras Road, K. R. Puram, Bengaluru - 560016'}, {'Country of Origin': 'India'}]","Innovative Retail Concepts Pvt. Ltd., Ranka Junction, No. 224, 4th Floor, Vijinapura, Old Madras Road, K. R. Puram, Bengaluru - 560016",-,-,"Refined Wheat flour, Sesame seeds, Butter, Edible vegetable fat, Iodised salt."
RET,RET-10,RET-10-11,RET-10-11-10,RET-10-11-10-11,Fresho Signature,"Fresho Signature Freshly Baked - Plain Lavash, 2X100 g MultiPack",Fresho Signature brings you exotic lavash that is sure to become one of your favourite evening snacks. Lavash is a thin flatbread traditionally baked on a sajj or in a tandoor. This crispy lavash gives you a slight crunch as you take a bite of it with exquisite spreads like creamy hummus or mayonnaise. It goes great with soup or as an appetizer with cheese. The lavash feels super light and can be used to make delicious mouth-watering wraps. You can serve it as is or bake it for a slightly crunchy texture with a variety of dressings. Make your meal healthy and interesting with Fresho Signature Lavash - Plain.,2X100 g MultiPack,g MultiPack,2X100 g MultiPack,1,1,198,117.3,"BLISS CHOCOLATES INDIA PRIVATE LIMITED UNIT NOS C AND D, SURVEY NO.12/9A, INDIPLEX - IV, SHANTI VIDYA NAGARI ROAD, NEAR RELIANCE RECEIVING STATION,VILLAGE GHODBUNDER, MIRA ROAD EAST, Thane, Maharashtra,",India,['1203331'],-,https://datalabs.siva3.io/image/Eunimart_groceries_203331_2-fresho-signature-freshly-baked-plain-lavash.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Ready to eat.,"[{'EAN Code': '1203331'}, {'Country of origin': 'India'}, {'Manufacturer Name and ': 'BLISS CHOCOLATES INDIA PRIVATE LIMITED UNIT NOS C AND D, SURVEY NO.12/9A, INDIPLEX - IV, SHANTI VIDYA NAGARI ROAD, NEAR RELIANCE RECEIVING STATION,VILLAGE GHODBUNDER, MIRA ROAD EAST, Thane, Maharashtra,'}]",-,-,-,"Refined Wheat flour, Sesame seeds, Butter, Edible vegetable fat, Iodised salt."
RET,RET-10,RET-10-11,RET-10-11-10,RET-10-11-10-11,Fresho Signature,"Fresho Signature Garlic & Herb Croutons Bites, 100 g","Croutons are rebaked bread that can be used as an accompaniment with soups and stews. The addition of garlic and herbs in Fresho Signature Garlic & Herb Croutons Bites help boost immunity and adds a punch of flavour. It is crunchy, crisp and flavourful. It adds great taste to your soups. Croutons are known to have originated in European baking and today are cherished worldwide. Whether it is buns, pav or pizza base, you ought to explore Fresho's range of delicious bakes. There is something for everyone.",100 g,g,100 g,1,1,99,75,"Factory address: MMX Mall, Mohan Nagar, G.T Road",India,['8904256711615'],['12719052000540'],https://datalabs.siva3.io/image/Eunimart_groceries_40212149_1-fresho-signature-garlic-herb-croutons.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40212149-2_1-fresho-signature-garlic-herb-croutons.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40212149-3_1-fresho-signature-garlic-herb-croutons.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40212149-4_1-fresho-signature-garlic-herb-croutons.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40212149-5_1-fresho-signature-garlic-herb-croutons.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40212149-6_1-fresho-signature-garlic-herb-croutons.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Ready to eat
Best paired with a hot cup of soup
Storage Information: Store in ambient temperature and dry, hygienic place away from sunlight and heat source.
Once opened store in an airtight container.","[{'EAN Code': '8904256711615'}, {'Country of origin': 'India'}, {'Manufacturer and Marketed by': 'Factory address: MMX Mall, Mohan Nagar, G.T Road'}, {'FSSAI Number': '12719052000540'}]","Factory address: MMX Mall, Mohan Nagar, G.T Road",-,-,"Refined Wheat Flour (maida), Butter, Garlic Paste (9%), Sugar, Bakery Shortening (Palm Oil, Sesame Oil), Bakery's Yeast, Iodized Salt, Gluten, Spices & Condiments, Improver [ins 1100, Anticaking Agent (ins 170(i)], Acidity Regulator (ins 330). Contains Added Flavour (Nature Identical Flavouring Sunstance-garlic)"
RET,RET-10,RET-10-11,RET-10-11-10,RET-10-11-10-11,Fresho Signature,"Fresho Signature Jeera Bread Sticks, 100 g","It's time to cherish the heavenly taste of these Jeera Breadsticks by Fresho Signature. These are made of dry-baked bread that is crisp and tasty enough to eat on their own. You can enjoy the taste of these yummy breadsticks with exotic thick dips like hummus, soft cheese, guacamole, and more. These jeera breadsticks are primarily used as salty snacks; however, you can add your creativity to them and make a sweet snack, too, using jams or melted chocolate. It can be served with soup too as a fantastic snack during a casual party. Fresho Signature brings you tasty meals with these Jeera Bread Sticks.",100 g,g,100 g,1,1,95,59,"Bliss Chocolates India Pvt. Ltd., No.21, 1st Main Road, MES Colony, Konena Agrahara, Bangalore - 560017., BLISS CHOCOLATES INDIA PRIVATE LIMITED, INDIPLEX - IV, UNIT NOS C AND D, SURVEY NO.12/9A, VILLAGE GHODBUNDER, MIRA ROAD EAST, Thane, Maharashtra 401104",India,['8904256701549'],"['10015043001314,10018022008102,10020043003172']",https://datalabs.siva3.io/image/Eunimart_groceries_40037493_14-fresho-signature-jeera-bread-sticks.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40037493-2_13-fresho-signature-jeera-bread-sticks.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40037493-3_10-fresho-signature-jeera-bread-sticks.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40037493-4_10-fresho-signature-jeera-bread-sticks.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40037493-5_9-fresho-signature-jeera-bread-sticks.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40037493-6_3-fresho-signature-jeera-bread-sticks.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40037493-7_2-fresho-signature-jeera-bread-sticks.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Ready to eat.,"[{'EAN Code': '8904256701549'}, {'FSSAI Number': '10015043001314, 10018022008102, 10020043003172'}, {'Manufacturer Name & ': 'Bliss Chocolates India Pvt. Ltd., No.21, 1st Main Road, MES Colony, Konena Agrahara, Bangalore - 560017., BLISS CHOCOLATES INDIA PRIVATE LIMITED, INDIPLEX - IV, UNIT NOS C AND D, SURVEY NO.12/9A, VILLAGE GHODBUNDER, MIRA ROAD EAST, Thane, Maharashtra 401104'}, {'Marketed by': 'Innovative Retail Concepts Pvt. Ltd., Ranka Junction, No. 224, 4th Floor, Vijinapura, Old Madras Road, K. R. Puram, Bengaluru - 560016'}, {'Country of Origin': 'India'}]","Innovative Retail Concepts Pvt. Ltd., Ranka Junction, No. 224, 4th Floor, Vijinapura, Old Madras Road, K. R. Puram, Bengaluru - 560016",-,-,"Refined Wheat flour, Butter, Edible vegetable fat, Iodised salt, Sugar, Baker's Yeast and Gluten."
RET,RET-10,RET-10-11,RET-10-11-10,RET-10-11-10-11,Fresho Signature,"Fresho Signature Jeera Bread Sticks, 2X100 g MultiPack","It's time to cherish the heavenly taste of these Jeera Breadsticks by Fresho Signature. These are made of dry-baked bread that is crisp and tasty enough to eat on their own. You can enjoy the taste of these yummy breadsticks with exotic thick dips like hummus, soft cheese, guacamole, and more. These jeera breadsticks are primarily used as salty snacks; however, you can add your creativity to them and make a sweet snack, too, using jams or melted chocolate. It can be served with soup too as a fantastic snack during a casual party. Fresho Signature brings you tasty meals with these Jeera Bread Sticks.",2X100 g MultiPack,g MultiPack,2X100 g MultiPack,1,1,190,100.3,"Bliss Chocolates India Pvt. Ltd., No.21, 1st Main Road, MES Colony, Konena Agrahara, Bangalore - 560017., BLISS CHOCOLATES INDIA PRIVATE LIMITED, INDIPLEX - IV, UNIT NOS C AND D, SURVEY NO.12/9A, VILLAGE GHODBUNDER, MIRA ROAD EAST, Thane, Maharashtra 401104",India,['1203337'],-,https://datalabs.siva3.io/image/Eunimart_groceries_203337_2-fresho-signature-jeera-bread-sticks.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Ready to eat.,"[{'EAN Code': '1203337'}, {'Country of origin': 'India'}]",-,-,-,"Refined Wheat flour, Butter, Edible vegetable fat, Iodised salt, Sugar, Baker's Yeast and Gluten."
RET,RET-10,RET-10-11,RET-10-11-10,RET-10-11-10-11,Fresho Signature,"Fresho Signature Masala Lavash, 100 g",Experiment with something new every day and wrap it with Fresho Signature Masala Lavash to enhance the taste of your dish and to make it interesting. Lavash is a thin flatbread traditionally baked on a sajj or in a tandoor. This crispy lavash gives you a slight crunch as you take a bite of it with exquisite spreads like creamy hummus or mayonnaise. It goes great with soup or as an appetizer with cheese. Feel free to grab more than one bite of masala lavash with your evening tea as it can be served warm as a snack. The lavash feels super light and can be used to make delicious mouth-watering wraps. You can serve it as is or bake it for a slightly crunchy texture with a variety of dressings. Make your meal healthy and interesting with Fresho Signature Lavash - Masala.,100 g,g,100 g,1,1,99,79,"Bliss Chocolates India Pvt. Ltd., No.21, 1st Main Road, MES Colony, Konena Agrahara, Bangalore - 560017., BLISS CHOCOLATES INDIA PRIVATE LIMITED, INDIPLEX - IV, UNIT NOS C AND D, SURVEY NO.12/9A, VILLAGE GHODBUNDER, MIRA ROAD EAST, Thane, Maharashtra 401104",India,['890425670158'],"['10015043001314,10018022008102,10020043003172']",https://datalabs.siva3.io/image/Eunimart_groceries_40112539_12-fresho-signature-masala-lavash.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40112539-2_11-fresho-signature-masala-lavash.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40112539-3_10-fresho-signature-masala-lavash.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40112539-4_10-fresho-signature-masala-lavash.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40112539-5_9-fresho-signature-masala-lavash.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40112539-6_3-fresho-signature-masala-lavash.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40112539-7_2-fresho-signature-masala-lavash.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Ready to eat.,"[{'EAN Code': '890425670158'}, {'FSSAI Number': '10015043001314, 10018022008102, 10020043003172'}, {'Manufacturer Name & ': 'Bliss Chocolates India Pvt. Ltd., No.21, 1st Main Road, MES Colony, Konena Agrahara, Bangalore - 560017., BLISS CHOCOLATES INDIA PRIVATE LIMITED, INDIPLEX - IV, UNIT NOS C AND D, SURVEY NO.12/9A, VILLAGE GHODBUNDER, MIRA ROAD EAST, Thane, Maharashtra 401104'}, {'Marketed by': 'Innovative Retail Concepts Pvt. Ltd., Ranka Junction, No. 224, 4th Floor, Vijinapura, Old Madras Road, K. R. Puram, Bengaluru - 560016'}, {'Country of Origin': 'India'}]","Innovative Retail Concepts Pvt. Ltd., Ranka Junction, No. 224, 4th Floor, Vijinapura, Old Madras Road, K. R. Puram, Bengaluru - 560016",-,-,"Refined Wheat flour, Butter, Edible vegetable fat, Chilli powder, Madras curry powder, Iodised salt."
RET,RET-10,RET-10-11,RET-10-11-10,RET-10-11-10-11,Fresho Signature,"Fresho Signature Masala Lavash, 2X100 g MultiPack",Experiment with something new every day and wrap it with Fresho Signature Masala Lavash to enhance the taste of your dish and to make it interesting. Lavash is a thin flatbread traditionally baked on a sajj or in a tandoor. This crispy lavash gives you a slight crunch as you take a bite of it with exquisite spreads like creamy hummus or mayonnaise. It goes great with soup or as an appetizer with cheese. Feel free to grab more than one bite of masala lavash with your evening tea as it can be served warm as a snack. The lavash feels super light and can be used to make delicious mouth-watering wraps. You can serve it as is or bake it for a slightly crunchy texture with a variety of dressings. Make your meal healthy and interesting with Fresho Signature Lavash - Masala.,2X100 g MultiPack,g MultiPack,2X100 g MultiPack,1,1,198,134.3,"BLISS CHOCOLATES INDIA PRIVATE LIMITED UNIT NOS C AND D, SURVEY NO.12/9A, INDIPLEX - IV, SHANTI VIDYA NAGARI ROAD, NEAR RELIANCE RECEIVING STATION, VILLAGE GHODBUNDER, MIRA ROAD EAST, Thane, Maharashtra.",India,['1203334'],['10019043002767'],https://datalabs.siva3.io/image/Eunimart_groceries_203334_3-fresho-signature-masala-lavash.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_203334-2_1-fresho-signature-masala-lavash.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_203334-3_1-fresho-signature-masala-lavash.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_203334-4_1-fresho-signature-masala-lavash.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_203334-5_1-fresho-signature-masala-lavash.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_203334-6_1-fresho-signature-masala-lavash.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_203334-7_1-fresho-signature-masala-lavash.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Ready to eat.,"[{'EAN Code': '1203334'}, {'Country of origin': 'India'}, {'Manufacturer Name & ': 'BLISS CHOCOLATES INDIA PRIVATE LIMITED UNIT NOS C AND D, SURVEY NO.12/9A, INDIPLEX - IV, SHANTI VIDYA NAGARI ROAD, NEAR RELIANCE RECEIVING STATION, VILLAGE GHODBUNDER, MIRA ROAD EAST, Thane, Maharashtra.'}, {'Marketed by': 'Supermarket Grocery Supplies Private Limited, Fairway Business Park, EGL, Challaghatta, Domlur, Bengaluru, 560071'}, {'FSSAI Number': '10019043002767'}]","Supermarket Grocery Supplies Private Limited, Fairway Business Park, EGL, Challaghatta, Domlur, Bengaluru, 560071",-,-,"Refined Wheat flour, Butter, Edible vegetable fat, Chilli powder, Madras curry powder, Iodised salt."
RET,RET-10,RET-10-11,RET-10-11-10,RET-10-11-10-11,Fresho Signature,"Fresho Signature Methi Snack Sticks - Delicate & Fresh Flavour, 100 g","Fresho Signature brings you tasty meals with these Bread Sticks-Methi. We also know these as pencil-sized dipping sticks. These are made of dry-baked bread and methi that are crisp and tasty enough to eat on their own. You can enjoy the taste of these yummy breadsticks with exotic thick dippers like hummus, soft cheese, guacamole, and more. These breadsticks are primarily used as salty snacks; however, you can add your creativity to them and make a sweet snack, too, using jams or melted chocolate. It can be served with soup too as a fantastic snack during a casual party.",100 g,g,100 g,1,1,69,59,"Bliss Chocolates India Pvt. Ltd., No.21, 1st Main Road, MES Colony, Konena Agrahara, Bangalore - 560017., BLISS CHOCOLATES INDIA PRIVATE LIMITED, INDIPLEX - IV, UNIT NOS C AND D, SURVEY NO.12/9A, VILLAGE GHODBUNDER, MIRA ROAD EAST, Thane, Maharashtra 401104",India,['40129890'],"['10015043001314,10018022008102,10020043003172']",https://datalabs.siva3.io/image/Eunimart_groceries_40129890_6-fresho-signature-snack-sticks-methi.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40129890-2_6-fresho-signature-snack-sticks-methi.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40129890-3_4-fresho-signature-snack-sticks-methi.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40129890-4_3-fresho-signature-snack-sticks-methi.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40129890-5_3-fresho-signature-snack-sticks-methi.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40129890-6_3-fresho-signature-snack-sticks-methi.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40129890-7_2-fresho-signature-snack-sticks-methi.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Ready to eat.,"[{'EAN Code': '40129890'}, {'FSSAI Number': '10015043001314, 10018022008102, 10020043003172'}, {'Manufacturer Name & ': 'Bliss Chocolates India Pvt. Ltd., No.21, 1st Main Road, MES Colony, Konena Agrahara, Bangalore - 560017., BLISS CHOCOLATES INDIA PRIVATE LIMITED, INDIPLEX - IV, UNIT NOS C AND D, SURVEY NO.12/9A, VILLAGE GHODBUNDER, MIRA ROAD EAST, Thane, Maharashtra 401104'}, {'Marketed by': 'Innovative Retail Concepts Pvt. Ltd., Ranka Junction, No. 224, 4th Floor, Vijinapura, Old Madras Road, K. R. Puram, Bengaluru - 560016'}, {'Country of Origin': 'India'}]","Innovative Retail Concepts Pvt. Ltd., Ranka Junction, No. 224, 4th Floor, Vijinapura, Old Madras Road, K. R. Puram, Bengaluru - 560016",-,-,"Refined Wheat flour, Edible vegetable fat, Green chilli, Iodised salt, Sugar, Ginger, Turmeric and Kasuri methi."
RET,RET-10,RET-10-11,RET-10-11-10,RET-10-11-10-11,Fresho Signature,"Fresho Signature Palak Snack Sticks - Fresh Flavour & Delicious, 100 g","Heathy greens on your way! Fresho Signature brings you a wide range of flavoured snack sticks. We also know these as pencil-sized dipping sticks. These are made of dry-baked bread that is crisp and tasty enough to eat on their own. You can enjoy the taste of these yummy breadsticks with exotic thick dips like hummus, soft cheese, guacamole, and more. These breadsticks are primarily used as salty snacks; however, you can add your creativity to them and make a sweet snack, too, using jams or melted chocolate. It can be served with soup too as a fantastic snack during a casual party. Fresho Signature brings you tasty meals with these Bread Sticks-Palak.",100 g,g,100 g,1,1,69,59,"Bliss Chocolates India Pvt. Ltd., No.21, 1st Main Road, MES Colony, Konena Agrahara, Bangalore - 560017., BLISS CHOCOLATES INDIA PRIVATE LIMITED, INDIPLEX - IV, UNIT NOS C AND D, SURVEY NO.12/9A, VILLAGE GHODBUNDER, MIRA ROAD EAST, Thane, Maharashtra 401104",India,['40129887'],"['10015043001314,10018022008102,10020043003172']",https://datalabs.siva3.io/image/Eunimart_groceries_40129887_7-fresho-signature-snack-sticks-palak.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40129887-2_6-fresho-signature-snack-sticks-palak.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40129887-3_5-fresho-signature-snack-sticks-palak.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40129887-4_4-fresho-signature-snack-sticks-palak.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40129887-5_4-fresho-signature-snack-sticks-palak.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40129887-6_3-fresho-signature-snack-sticks-palak.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40129887-7_2-fresho-signature-snack-sticks-palak.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Ready to eat.,"[{'EAN Code': '40129887'}, {'FSSAI Number': '10015043001314, 10018022008102, 10020043003172'}, {'Manufacturer Name & ': 'Bliss Chocolates India Pvt. Ltd., No.21, 1st Main Road, MES Colony, Konena Agrahara, Bangalore - 560017., BLISS CHOCOLATES INDIA PRIVATE LIMITED, INDIPLEX - IV, UNIT NOS C AND D, SURVEY NO.12/9A, VILLAGE GHODBUNDER, MIRA ROAD EAST, Thane, Maharashtra 401104'}, {'Marketed by': 'Innovative Retail Concepts Pvt. Ltd., Ranka Junction, No. 224, 4th Floor, Vijinapura, Old Madras Road, K. R. Puram, Bengaluru - 560016'}, {'Country of Origin': 'India'}]","Innovative Retail Concepts Pvt. Ltd., Ranka Junction, No. 224, 4th Floor, Vijinapura, Old Madras Road, K. R. Puram, Bengaluru - 560016",-,-,"Refined Wheat flour, Spinach, Edible vegetable fat,Green chilli, Iodised salt."
