L0 Domain,L1 Sub-Domain,L2 Category,L3 Sub-Category,L4 Product Enum-Code,Brand,Product Name,Product Description,Product Quantity,UOM,Net Quantity,Pack Quantity,Pack Size,MRP,Price,Manufacturer,Country Of Origin,UPC/EAN,FSSAI no,Images,Images / Video,Images.3,Images.4,Images.5,Images.6,Images.7,Images.8,Images.9,Images.10,SKU Code,Customer Care Contact,Time to Ship,Returnable (Y/N),Cancellable (Y/N),COD available (Y/N),Preservatives (Y/N),Preservatives (details),Flavours & Spices,Ready to cook (Y/N),Ready to eat (Y/N),Rice grain type,Recommended Age,Scented/ Flavour,Herbal/ Ayurvedic,Theme/ Occasion Type,Hair Type,Mineral Source,Caffeine Content,Capacity,Usage,Other details,Marketed By,Baby Weight,Absorption Duration (in Hrs),Ingredients,Ingredient,From The Brand
RET,RET-10,RET-10-11,RET-10-11-11,RET-10-11-11-10,Elite,"Elite Cake - Orange, Tooti Frooti, 100 g","Wheat Flour, Egg, Sugar, Edible Vegetable Oil, Liquid Glucose, Candied Papaya, Milk Solids, Salt, Flavoring Agent, Preservatives (E 200, E 202, E 260, E 282), Raising Agent (E 500-i), Permitted Food Color. Contains Added Synthetic F",100 g,g,100 g,1,1,30,30,"Elite Natural Pvt Ltd., Plot No.21 Sipcot Industrial Complex, Phase Ii, Hosur-635109",India,['8906009993157'],-,https://datalabs.siva3.io/image/Eunimart_groceries_30007641_2-elite-orange-flavoured-tooti-frooti.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_30007641-2_2-elite-orange-flavoured-tooti-frooti.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_30007641-3_2-elite-orange-flavoured-tooti-frooti.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_30007641-4_2-elite-orange-flavoured-tooti-frooti.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_30007641-5_1-elite-orange-flavoured-tooti-frooti.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['EAN Code: 8906009993157', 'Country of origin: India', 'Manufactured & Marketed by: Elite Natural Pvt Ltd., Plot No.21 Sipcot Industrial Complex, Phase Ii, Hosur-635109', 'Best before 31-03-2023', '","Elite Natural Pvt Ltd., Plot No.21 Sipcot Industrial Complex, Phase Ii, Hosur-635109",-,-,"Wheat Flour, Egg, Sugar, Edible Vegetable Oil, Liquid Glucose, Candied Papaya, Milk Solids, Salt, Flavoring Agent, Preservatives (E 200, E 202, E 260, E 282), Raising Agent (E 500-i), Permitted Food Color. Contains Added Synthetic F",-,-
RET,RET-10,RET-10-11,RET-10-11-11,RET-10-11-11-10,Elite,"Elite Cake - Pineapple, Tooti Frooti, 100 g","Wheat Flour, Egg, Sugar, Edible Vegetable Oil, Liquid Glucose, Candied papaya, Milk Solids, Salt, Flavoring Agent, Preservatives (E 200, E 202, E 260, E 282), Raising Agent (E 500-i), Permitted Food Color. Contains Added Synthetic Flavor (Pineapple) and Color (Lemon Yellow)",100 g,g,100 g,1,1,30,30,"Elite Natural Pvt Ltd., Plot No.21 Sipcot Industrial Complex, Phase Ii, Hosur-635109",India,['8906009993164'],-,https://datalabs.siva3.io/image/Eunimart_groceries_30007642_2-elite-pineapple-flavoured-tooti-frooti.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_30007642-2_2-elite-pineapple-flavoured-tooti-frooti.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_30007642-4_2-elite-pineapple-flavoured-tooti-frooti.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_30007642-5_2-elite-pineapple-flavoured-tooti-frooti.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_30007642-6_1-elite-pineapple-flavoured-tooti-frooti.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['EAN Code: 8906009993164', 'Country of origin: India', 'Manufactured & Marketed by: Elite Natural Pvt Ltd., Plot No.21 Sipcot Industrial Complex, Phase Ii, Hosur-635109', 'Best before 31-03-2023', '","Elite Natural Pvt Ltd., Plot No.21 Sipcot Industrial Complex, Phase Ii, Hosur-635109",-,-,"Wheat Flour, Egg, Sugar, Edible Vegetable Oil, Liquid Glucose, Candied papaya, Milk Solids, Salt, Flavoring Agent, Preservatives (E 200, E 202, E 260, E 282), Raising Agent (E 500-i), Permitted Food Color. Contains Added Synthetic Flavor (Pineapple) and Color (Lemon Yellow)",-,-
RET,RET-10,RET-10-11,RET-10-11-11,RET-10-11-11-10,Elite,"Elite Cake - Rich Plum, 300 g","Cantains Added Synthetic Flavours( Vanilla, Lemon) And Natural Colour(Caramel)",300 g,g,300 g,1,1,220,220,"Elite Foods Pvt Ltd,60,Major Industrial Estate,South Kalamassery, Ernakulam-683109 Kerala",India,['20004525'],-,https://datalabs.siva3.io/image/Eunimart_groceries_20004525_3-elite-plum-cake-rich.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_20004525-2_1-elite-plum-cake-rich.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_20004525-3_1-elite-plum-cake-rich.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_20004525-4_1-elite-plum-cake-rich.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_20004525-5_1-elite-plum-cake-rich.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_20004525-6_1-elite-plum-cake-rich.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['EAN Code: 20004525', 'Country of origin: India', 'Manufactured & Marketed by: Elite Foods Pvt Ltd,60,Major Industrial Estate,South Kalamassery, Ernakulam-683109 Kerala', 'Best before 30-04-2023', ]","Elite Foods Pvt Ltd,60,Major Industrial Estate,South Kalamassery, Ernakulam-683109 Kerala",-,-,-,"Soaked Flavours, Wheat Flour, Egg, Sugar, Ghee, Edible Vegtable Fat",-
RET,RET-10,RET-10-11,RET-10-11-11,RET-10-11-11-10,Elite,"Elite Dates Pudding Cake - Sliced, 150 g","Ready to Eat Dates pudding cake. Elite products delight millions of households with a wide range of natural ingredients developed by leveraging our in-house R&D capabilities. We are continuously reinventing our product to meet the consumer expectations on both Taste & Health in conformance to our brand promise of ÇúElite- Good for youÇù. The product range thus offers great quality and delivers taste, healthy and convenience to our consumers.",150 g,g,150 g,1,1,60,60,"Elite Naturat Pvt Ltd. Plot No 21 SIPCOT Industrial Complex, Phase II, Hosur 635109 Tamil Nadu India",India,['40204881'],['10012041000049'],https://datalabs.siva3.io/image/Eunimart_groceries_40204881_2-elite-dates-pudding-cake-sliced.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40204881-2_2-elite-dates-pudding-cake-sliced.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40204881-3_2-elite-dates-pudding-cake-sliced.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40204881-4_2-elite-dates-pudding-cake-sliced.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40204881-5_2-elite-dates-pudding-cake-sliced.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Ready to eat cakes.,"['EAN Code: 40204881', 'Country Of Origin: India', 'FSSAI No: 10012041000049', 'Manufactured & Marketed By: Elite Naturat Pvt Ltd. Plot No 21 SIPCOT Industrial Complex, Phase II, Hosur 635109 Tamil Nadu India', 'Best Before 31-03-2023', '","Elite Naturat Pvt Ltd. Plot No 21 SIPCOT Industrial Complex, Phase II, Hosur 635109 Tamil Nadu India",-,-,"Wheat flour, Sugar, Egg, Vegetable Oil, Soaked Dates, Cashew Nuts, Flavours",-,-
RET,RET-10,RET-10-11,RET-10-11-11,RET-10-11-11-10,Elite,"Elite Dates Pudding Cake, 250 g Box",Anyone who likes dates will enjoy this rich date dessert. This moist cake baked in a loaf pan and dotted with chopped dates. Enjoy these delicious cakes with the beverage of your choice.,250 g Box,g Box,250 g Box,1,1,130,130,"Elite Natural Pvt. Ltd., Plt No. 21, Sipcot Industrial Complex, Phase 2, Hosur - 635109, Tamil Nadu, India",India,['40169133'],['10012042000648'],https://datalabs.siva3.io/image/Eunimart_groceries_40169133_2-elite-dates-pudding-cake.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40169133-2_3-elite-dates-pudding-cake.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40169133-3_3-elite-dates-pudding-cake.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40169133-4_3-elite-dates-pudding-cake.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40169133-5_1-elite-dates-pudding-cake.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['EAN Code: 40169133', 'Country of origin: India', 'FSSAI Number: 10012042000648', 'Manufactured & Marketed by: Elite Natural Pvt. Ltd., Plt No. 21, Sipcot Industrial Complex, Phase 2, Hosur - 635109, Tamil Nadu, India', 'Best before 30-04-2023', '","Elite Natural Pvt. Ltd., Plt No. 21, Sipcot Industrial Complex, Phase 2, Hosur - 635109, Tamil Nadu, India",-,-,"Egg, Wheat Flour, Sugar, Edible Veg Oil, Humectants (ins422 & 420), Emulsifiers (ins491, 477, 471 & 464), Milk Solids, Dextrose, Iodized Salt, Permitted Class Ii Preservatives (ins202 & 200), Leavening Agent (ins500), Acidity Regulator (ins260), Stabilizing Agent (ins415) And Antioxidant (ins320), Thickener, Pulp, Nuts. Soaked Dates, Dates Syrup.",-,-
RET,RET-10,RET-10-11,RET-10-11-11,RET-10-11-11-10,Elite,"Elite Dreams Bar Cake - Chocolate, 140 g",Elite Dreams Bar Cake - Chocolate Elite,140 g,g,140 g,1,1,40,40,"Elite Natural Pvt Ltd.,Plot No.21 Sipcot Industrial Complex,Phase Ii,Hosur-635109",India,['8906009990682'],-,https://datalabs.siva3.io/image/Eunimart_groceries_30007637_4-elite-bar-cake-chocolate.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_30007637-2_4-elite-bar-cake-chocolate.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_30007637-3_4-elite-bar-cake-chocolate.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_30007637-4_4-elite-bar-cake-chocolate.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_30007637-5_2-elite-bar-cake-chocolate.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['EAN Code: 8906009990682', 'Country Of Origin: India', 'Manufactured & Marketed by: Elite Natural Pvt Ltd.,Plot No.21 Sipcot Industrial Complex,Phase Ii,Hosur-635109', 'Best before 06-04-2023', '","Elite Natural Pvt Ltd.,Plot No.21 Sipcot Industrial Complex,Phase Ii,Hosur-635109",-,-,"Sugar, Wheat Flour, Eggs, Edible Vegetable Oil, Cocoa Powder, Caramel, Edible Starch, Humectant (E 420), Acidity Regulators (E 260), Emulsifiers, Salt, preservatives (E 282, E 202), Leavening Agent (E 341, E 500, E 334). Contains added synthetic colors.",-,-
RET,RET-10,RET-10-11,RET-10-11-11,RET-10-11-11-10,Elite,"Elite Dreams Cup Cake - Butter, 140 g (Pack of 6)","Elite Butter Cup Cake is a fine blend of sweetness, softness and just the right amount of butter flavour. Its a mini version of the soft-base vanilla cake and perfect to be an anytime treat.",140 g (Pack of 6),g (Pack of ),140 g (Pack of 6),6,1,50,50,"Elite Natural Pvt Ltd., Plot No.21 Sipcot Industrial Complex, Phase Ii, Hosur-635109",India,['8906009993614'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40052062_4-elite-dreams-cup-cake-butter.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40052062-2_5-elite-dreams-cup-cake-butter.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40052062-3_5-elite-dreams-cup-cake-butter.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40052062-4_5-elite-dreams-cup-cake-butter.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40052062-5_3-elite-dreams-cup-cake-butter.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['EAN Code: 8906009993614', 'Country of origin: India', 'Manufactured & Marketed by: Elite Natural Pvt Ltd., Plot No.21 Sipcot Industrial Complex, Phase Ii, Hosur-635109', 'Best before 31-03-2023', '","Elite Natural Pvt Ltd., Plot No.21 Sipcot Industrial Complex, Phase Ii, Hosur-635109",-,-,-,"Wheat Flour, Sugar, Egg, Edible Vegetable Oil, Butter, Improver Sugar, Dextrose, Acidity Regulators Ins450(I) & 341(I), Corn Flour, Leavening Agent Ins500(Ii), Iodized Salt, Thickener (Ins466 & 415) And Emulsifier (Ins472E), Humectants (Ins422 & 420), Glucose Syrup, Corn Flour, Emulsifiers (Ins491, 477 & 471), Permitted Class Ii Preservative (Ins202), Leavening Agent Ins500(Ii), Iodized Salt, Acidity Regulator (Ins260) And Milk Solids.",-
RET,RET-10,RET-10-11,RET-10-11-11,RET-10-11-11-10,Elite,"Elite Dreams Cup Cake - Choco, 15 g","Elite Choco Cup Cake is a fine blend of sweetness, softness and just the right amount of chocolate flavour. Baked to perfection, its a soft and tasty delight.",15 g,g,15 g,1,1,5,5,"Elite Natural Pvt Ltd., Plot No.21 Sipcot Industrial Complex, Phase Ii, Hosur-635109",India,['8906009992990'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40052061_3-elite-dreams-cup-cake-choco.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40052061-2_1-elite-dreams-cup-cake-choco.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40052061-3_1-elite-dreams-cup-cake-choco.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40052061-4_1-elite-dreams-cup-cake-choco.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40052061-5_1-elite-dreams-cup-cake-choco.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"[{'EAN Code': '8906009992990'}, {'Country of origin': 'India'}, {'Manufactured & Marketed by': 'Elite Natural Pvt Ltd., Plot No.21 Sipcot Industrial Complex, Phase Ii, Hosur-635109'}]","Elite Natural Pvt Ltd., Plot No.21 Sipcot Industrial Complex, Phase Ii, Hosur-635109",-,-,-,"Sugar, Wheat Flour, Egg, Edible Vegetable Oil, Improver Sugar, Dextrose, Corn Flour, Cocoa Powder, Leavening Agent Ins500(Ii), Acidity Regulators Ins450(I) & 341(I), Iodized Salt, Thickener (Ins466 & 415) And Emulsifier (Ins472E), Cocoa Powder, Humectant (Ins422), Leavening Agent Ins500(Ii), Permitted Class Ii Preservatives (Ins202 & 200) And Acidity Regulators (Ins330 & 260).",-
RET,RET-10,RET-10-11,RET-10-11-11,RET-10-11-11-10,Elite,"Elite Dreams Cup Cake - Chocolate, 140 g (Pack of 6)","Wheat Flour, Sugar, Milk Soilds, Vegetable Oil, Modified Starch, Choco Paste, Cocoa Solid, Salt, Emulsifiers (E 481-I, E 464), Acidity Regulator (E 339), Preservatives (E 200, E 260), Flavoring Agent.",140 g (Pack of 6),g (Pack of ),140 g (Pack of 6),6,1,50,50,"Elite Natural Pvt Ltd., Plot No.21 Sipcot Industrial Complex, Phase Ii, Hosur-635109",India,['8906009993621'],-,https://datalabs.siva3.io/image/Eunimart_groceries_30007645_5-elite-dreams-cup-cake-chocolate.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_30007645-2_5-elite-dreams-cup-cake-chocolate.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_30007645-3_5-elite-dreams-cup-cake-chocolate.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_30007645-4_5-elite-dreams-cup-cake-chocolate.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_30007645-5_5-elite-dreams-cup-cake-chocolate.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['EAN Code: 8906009993621', 'Country of origin: India', 'Manufactured & Marketed by: Elite Natural Pvt Ltd., Plot No.21 Sipcot Industrial Complex, Phase Ii, Hosur-635109', 'Best before 31-03-2023', '","Elite Natural Pvt Ltd., Plot No.21 Sipcot Industrial Complex, Phase Ii, Hosur-635109",-,-,"Wheat Flour, Sugar, Milk Soilds, Vegetable Oil, Modified Starch, Choco Paste, Cocoa Solid, Salt, Emulsifiers (E 481-I, E 464), Acidity Regulator (E 339), Preservatives (E 200, E 260), Flavoring Agent.",-,-
RET,RET-10,RET-10-11,RET-10-11-11,RET-10-11-11-10,Elite,"Elite Dreams Cup Cake - Strawberry, 140 g","Elite Strawberry Cup Cake is a fine blend of sweetness, softness and just the right amount of strawberry flavour. Whether it is for a party or simply to satisfy your sweet tooth, Elite Cup Cakes are the perfect choice.",140 g,g,140 g,1,1,50,50,Discontinued,India,['8906009993638'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40052063_3-elite-dreams-cup-cake-strawberry.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40052063-2_1-elite-dreams-cup-cake-strawberry.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40052063-3_1-elite-dreams-cup-cake-strawberry.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40052063-4_1-elite-dreams-cup-cake-strawberry.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40052063-5_1-elite-dreams-cup-cake-strawberry.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['EAN Code: 8906009993638', 'Country of origin: India', 'Manufactured & Marketed by: Discontinued', '",Discontinued,-,-,-,"Wheat Flour, Sugar, Egg Edible Vegetable Oil, Unsalted Butter, Liquid Glucose, Corn Flour, Salt, Humectant (E420), Leavening Agent E500 (Ii), Preservatives (E202 & 260),Improvers E339 (Ii), E330, E500 (Ii), E34L (I), E472E, E,466 & E4L5.",-
RET,RET-10,RET-10-11,RET-10-11-11,RET-10-11-11-10,Elite,"Elite Surprise Cake - Plum, 330 g","Introducing Elite Plum Surprise. As the name implies, the cake is full of surprises. The burst of rich chocolate and the crispy cashew nuts would take your taste buds to cloud nine.",330 g,g,330 g,1,1,180,180,"Elite Foods Pvt Ltd,60,Major Industrial Estate,South Kalamassery, Ernakulam-683109 Kerala",India,['40052066'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40052066_2-elite-plum-cake-surprise.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['EAN Code: 40052066', 'Country Of Origin: India', 'Manufactured & Marketed by: Elite Foods Pvt Ltd,60,Major Industrial Estate,South Kalamassery, Ernakulam-683109 Kerala', 'Best before 15-04-2023', '","Elite Foods Pvt Ltd,60,Major Industrial Estate,South Kalamassery, Ernakulam-683109 Kerala",-,-,"Candied Fruits & Peel (Black Plum (8%), Papaya, Grapes, Dates, Cashew Nuts (5%), Cherry, Orange, Orange Peel And Ginger Peel), Sugar, Acidity Regulator (Ins330), Mixed Fruit Jam Mixed Fruit Pulp, Sugar, Glucose, Thickener (Ins440), Acidity Regulator (Ins330) & Preservative (Ins224), Wheat Flour, Egg, Sugar, Edible Vegetable Fat & Oil, Glucose Syrup, Butter, Humectants (Ins422 & 420), Emulsifiers (Ins491, 477, 471 & 466), Permitted Class Ii Preservative (Ins202), Iodized Salt, Leavening Agent Ins500(Ii), Mixed Spices (Cardamom, Cinnamon, Cloves, Fennel, Jeera, Nutmeg & Mace) And Acidity Regulator (Ins260).",-,-
RET,RET-10,RET-10-11,RET-10-11-11,RET-10-11-11-10,Fresho Signature,"Fresho Signature Apple Mousse, 90 g","About the Product

Delicious creamy mousse perfect for a after dinner treat or celebrate the joys of life!",90 g,g,90 g,1,1,175,119,"Bliss Chocolates India Pvt. Ltd., No.21, 1st Main Road, MES Colony, Konena Agrahara, Bangalore - 560017",India,['40227971'],"['10015043001314,10020043003172']",https://datalabs.siva3.io/image/Eunimart_groceries_40227971_1-fresho-signature-apple-mousse.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40227971-2_1-fresho-signature-apple-mousse.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40227971-3_1-fresho-signature-apple-mousse.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40227971-4_1-fresho-signature-apple-mousse.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40227971-5_1-fresho-signature-apple-mousse.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Thaw to room temperature & dig in!,"['EAN Code:40227971', 'FSSAI Number: 10015043001314, 10020043003172', 'Manufacturer Name & : Bliss Chocolates India Pvt. Ltd., No.21, 1st Main Road, MES Colony, Konena Agrahara, Bangalore - 560017', 'Marketed by: Innovative Retail Concepts Pvt. Ltd., Ranka Junction, No. 224, 4th Floor, Vijinapura, Old Madras Road, K. R. Puram, Bengaluru - 560016', 'Country of Origin: India', 'Best before__PSL__days from delivery date', '","Innovative Retail Concepts Pvt. Ltd., Ranka Junction, No. 224, 4th Floor, Vijinapura, Old Madras Road, K. R. Puram, Bengaluru - 560016",-,-,"Apple filling(35%*), Refined wheat flour(Maida), Butter, Iodized salt, Brown sugar, Almond powder, Yogurt, Whipped cream, Fresh cream.",-,"About the Product

Delicious creamy mousse perfect for a after dinner treat or celebrate the joys of life!"
RET,RET-10,RET-10-11,RET-10-11-11,RET-10-11-11-10,Fresho Signature,"Fresho Signature Banana Oats & Cranberry Muffins, 200 g","Baked with a burst of sweetness and sourness, these Fresho Signature Banana Oats & Cranberry Muffins are a box of scrumptiously soft goodness. Made with Banana oats that are a great source of fibre and cranberries that are known to be a popular superfood, these trans-fat-free moist cupcakes are tasty and nutritious. Explore Fresho's full range of gluten-free and dairy-free treats if you're looking for guilt-free indulgences.",200 g,g,200 g,1,1,199,189.05,"Bliss Chocolates India Private Limited, No.21, 1St Main Road, Mes Colony, Konena Agrahara, Bangalore, Karnataka - 560017, Colony, Konena Agrahara Hal Post, Bengaluru",India,['8904256712910'],['10015043001314'],https://datalabs.siva3.io/image/Eunimart_groceries_40174340_6-fresho-signature-banana-oats-cranberry-muffins.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40174340-2_7-fresho-signature-banana-oats-cranberry-muffins.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40174340-3_5-fresho-signature-banana-oats-cranberry-muffins.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40174340-4_1-fresho-signature-banana-oats-cranberry-muffins.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Ready to Eat
Pair with jam or cream
Pair with your evening tea
Storage Information: Store in a cool and dry place.","['EAN Code: 8904256712910', 'Country of origin: India', 'FSSAI Number: 10015043001314', 'Manufacturer Name & : Bliss Chocolates India Private Limited, No.21, 1St Main Road, Mes Colony, Konena Agrahara, Bangalore, Karnataka - 560017, Colony, Konena Agrahara Hal Post, Bengaluru', 'Marketed By: Supermarket Grocery supplies PVt Ltd, 8th Floor, The Fairway Business park, Near Embassy Golf links Business park, Challaghatta, Domlur, Bangalore-560071', 'Best before 5 days from delivery date', '","Supermarket Grocery supplies PVt Ltd, 8th Floor, The Fairway Business park, Near Embassy Golf links Business park, Challaghatta, Domlur, Bangalore-560071",-,-,"Muffin Mix (Refined Wheat Flour(Maida), Sugar, Milk Solids, Edible Vegetable Oil (Sunflower oil), Dextrose, Modified starch (INS 1440, INS 1442), Raising agent(INS 341(I)), Emulsifiers & Stabilizers(INS 475, INS 471, INS 433, INS 415, INS 410 & INS 466), Iodized Salt), Edible Vegetable Oil(Sunflower Oil),Egg, Water, Preservatives (INS202,INS 281), Banana(17.94%), Cranberry(11.53%), Oats(5.12%). COUNTAINS PERMITTED NATURAL COLOUR-CARAMEL (INS 150a) & ADDED FLAVOUR (NATURE IDENTICAL & ARTIFICIAL FLAVOURING SUBSTANCES - BANANA, VANILLA) Allergen Warning: Product countains Gluten, Milk Soilds and Egg.",-,-
RET,RET-10,RET-10-11,RET-10-11-11,RET-10-11-11-10,Fresho Signature,"Fresho Signature Banana Toffee, 90 g","Caramel Banana -32.2%* (Banana, Carmel sauce (Sugar, Butter, Cream)), Whipped cream, Caramel sauce (Sugar, Butter, Cream), Refined Wheat flour (Maida), Butter, Iodized salt, Brown sugar.",90 g,g,90 g,1,1,175,99,"Bliss Chocolates India Pvt. Ltd., No.21, 1st Main Road, MES Colony, Konena Agrahara, Bangalore - 560017",India,['40227973'],"['10015043001314,10020043003172']",https://datalabs.siva3.io/image/Eunimart_groceries_40227973_1-fresho-signature-banana-toffee.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40227973-2_1-fresho-signature-banana-toffee.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40227973-3_1-fresho-signature-banana-toffee.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40227973-4_1-fresho-signature-banana-toffee.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40227973-5_1-fresho-signature-banana-toffee.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Thaw to room temperature & dig in!,"['EAN Code:40227973', 'FSSAI Number: 10015043001314, 10020043003172', 'Manufacturer Name & : Bliss Chocolates India Pvt. Ltd., No.21, 1st Main Road, MES Colony, Konena Agrahara, Bangalore - 560017', 'Marketed by: Innovative Retail Concepts Pvt. Ltd., Ranka Junction, No. 224, 4th Floor, Vijinapura, Old Madras Road, K. R. Puram, Bengaluru - 560016', 'Country of Origin: India', 'Best before__PSL__days from delivery date', '","Innovative Retail Concepts Pvt. Ltd., Ranka Junction, No. 224, 4th Floor, Vijinapura, Old Madras Road, K. R. Puram, Bengaluru - 560016",-,-,"Caramel Banana -32.2%* (Banana, Carmel sauce (Sugar, Butter, Cream)), Whipped cream, Caramel sauce (Sugar, Butter, Cream), Refined Wheat flour (Maida), Butter, Iodized salt, Brown sugar.",-,About the Product
