L0 Domain,L1 Sub-Domain,L2 Category,L3 Sub-Category,L4 Product Enum-Code,Brand,Product Name,Product Description,Product Quantity,UOM,Net Quantity,Pack Quantity,Pack Size,MRP,Price,Manufacturer,Country Of Origin,UPC/EAN,FSSAI no,Images,Images / Video,Images.3,Images.4,Images.5,Images.6,Images.7,Images.8,Images.9,Images.10,SKU Code,Customer Care Contact,Time to Ship,Returnable (Y/N),Cancellable (Y/N),COD available (Y/N),Preservatives (Y/N),Preservatives (details),Flavours & Spices,Ready to cook (Y/N),Ready to eat (Y/N),Rice grain type,Recommended Age,Scented/ Flavour,Herbal/ Ayurvedic,Theme/ Occasion Type,Hair Type,Mineral Source,Caffeine Content,Capacity,Usage,Other details,Marketed By,Baby Weight,Absorption Duration (in Hrs),Features,Ingredients,Ingredient,From The Brand
RET,RET-10,RET-10-18,RET-10-18-10,RET-10-18-10-14,GoodDiet,"GoodDiet Nutrition Energy Bar - Gojiberry, Blackcurrant & Cashews, 10x40 g Multipack","Looking for a guilt-free alternative for all your sweet cravings? GoodDiet Nutrition Energy Bar - Gojiberry, Blackcurrant & Cashews is a perfect pick for you. Packed with nutritional value and taste this sweet treat is perfect for the calorie-conscious. Created with hand-picked ingredients, the Gojiberry and Blackcurrant add a rich flavour and the cashew add a delicious crunch to this bar. Tasty and crumbly to relish, these energy bars are a perfect mix of crunchiness and sweetness. A healthy alternative for all the sweet snacks, these energy bars have no added preservatives and are perfect guilt-free snacks. These delicious, rich and handcrafted energy bars are perfect movie time snacks or for your after-workout munching purposes. With something for everyone, Fresho Signature's range of treats is prepared with the finest ingredients. Treat yourself to different kinds of granola, and cereal bars from Fresho's wide-ranging collection.
Features: 
On-the-go
Gluten and cholesterol-free
No added preservative",10x40 g Multipack,g,10x40 g Multipack,1,1,520,350.1,"134/A, 3rd floor, 6th main, 2nd stage, 3rd cross, Industrial Suburb, Yeshwantpur, Bangalore- 560022",India,['1205660'],-,https://datalabs.siva3.io/image/Eunimart_groceries_205660_1-gooddiet-nutrition-energy-bar-gojiberry-blackcurrant-cashews.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Ready to eat
Storage Information: Store in a cool, dry and hygienic place.","['EAN Code: 1205660', 'Country of origin: India', 'Manufacturer name & address: 134/A, 3rd floor, 6th main, 2nd stage, 3rd cross, Industrial Suburb, Yeshwantpur, Bangalore- 560022', 'Marketed by: Supermarket Grocery Supplies Private Limited, Fairway Business Park, EGL, Challaghatta, Domlur, Bengaluru, 560071', 'Best before 31-05-2023', '","Supermarket Grocery Supplies Private Limited, Fairway Business Park, EGL, Challaghatta, Domlur, Bengaluru, 560071",-,-,-,"Rolled Oats, Honey, Sunflower Seeds, Black Current(8%), Goji Berries(8%), Jaggery, Peanut, Cashew(6%), Butter, Jowar Millet Crisps, Chia Seeds, Rock Salt.",-,-
RET,RET-10,RET-10-18,RET-10-18-10,RET-10-18-10-14,GoodDiet,"GoodDiet Nutrition Energy Bar - Gojiberry, Blackcurrant & Cashews, 10x40 g Multipack","Looking for a guilt-free alternative for all your sweet cravings? GoodDiet Nutrition Energy Bar - Gojiberry, Blackcurrant & Cashews is a perfect pick for you. Packed with nutritional value and taste this sweet treat is perfect for the calorie-conscious. Created with hand-picked ingredients, the Gojiberry and Blackcurrant add a rich flavour and the cashew add a delicious crunch to this bar. Tasty and crumbly to relish, these energy bars are a perfect mix of crunchiness and sweetness. A healthy alternative for all the sweet snacks, these energy bars have no added preservatives and are perfect guilt-free snacks. These delicious, rich and handcrafted energy bars are perfect movie time snacks or for your after-workout munching purposes. With something for everyone, Fresho Signature's range of treats is prepared with the finest ingredients. Treat yourself to different kinds of granola, and cereal bars from Fresho's wide-ranging collection.
Features: 
On-the-go
Gluten and cholesterol-free
No added preservative",10x40 g Multipack,g,10x40 g Multipack,1,1,520,350.1,"134/A, 3rd floor, 6th main, 2nd stage, 3rd cross, Industrial Suburb, Yeshwantpur, Bangalore- 560022",India,['1205660'],-,https://datalabs.siva3.io/image/Eunimart_groceries_205660_1-gooddiet-nutrition-energy-bar-gojiberry-blackcurrant-cashews.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Ready to eat
Storage Information: Store in a cool, dry and hygienic place.","['EAN Code: 1205660', 'Country of origin: India', 'Manufacturer name & address: 134/A, 3rd floor, 6th main, 2nd stage, 3rd cross, Industrial Suburb, Yeshwantpur, Bangalore- 560022', 'Marketed by: Supermarket Grocery Supplies Private Limited, Fairway Business Park, EGL, Challaghatta, Domlur, Bengaluru, 560071', 'Best before 31-05-2023', '","Supermarket Grocery Supplies Private Limited, Fairway Business Park, EGL, Challaghatta, Domlur, Bengaluru, 560071",-,-,-,"Rolled Oats, Honey, Sunflower Seeds, Black Current(8%), Goji Berries(8%), Jaggery, Peanut, Cashew(6%), Butter, Jowar Millet Crisps, Chia Seeds, Rock Salt.",-,-
RET,RET-10,RET-10-18,RET-10-18-10,RET-10-18-10-14,GoodDiet,"GoodDiet Nutrition Energy Bar - Gojiberry, Blackcurrant & Cashews, 10x40 g Multipack","Looking for a guilt-free alternative for all your sweet cravings? GoodDiet Nutrition Energy Bar - Gojiberry, Blackcurrant & Cashews is a perfect pick for you. Packed with nutritional value and taste this sweet treat is perfect for the calorie-conscious. Created with hand-picked ingredients, the Gojiberry and Blackcurrant add a rich flavour and the cashew add a delicious crunch to this bar. Tasty and crumbly to relish, these energy bars are a perfect mix of crunchiness and sweetness. A healthy alternative for all the sweet snacks, these energy bars have no added preservatives and are perfect guilt-free snacks. These delicious, rich and handcrafted energy bars are perfect movie time snacks or for your after-workout munching purposes. With something for everyone, Fresho Signature's range of treats is prepared with the finest ingredients. Treat yourself to different kinds of granola, and cereal bars from Fresho's wide-ranging collection.
Features: 
On-the-go
Gluten and cholesterol-free
No added preservative",10x40 g Multipack,g,10x40 g Multipack,1,1,520,350.1,"134/A, 3rd floor, 6th main, 2nd stage, 3rd cross, Industrial Suburb, Yeshwantpur, Bangalore- 560022",India,['1205660'],-,https://datalabs.siva3.io/image/Eunimart_groceries_205660_1-gooddiet-nutrition-energy-bar-gojiberry-blackcurrant-cashews.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Ready to eat
Storage Information: Store in a cool, dry and hygienic place.","['EAN Code: 1205660', 'Country of origin: India', 'Manufacturer name & address: 134/A, 3rd floor, 6th main, 2nd stage, 3rd cross, Industrial Suburb, Yeshwantpur, Bangalore- 560022', 'Marketed by: Supermarket Grocery Supplies Private Limited, Fairway Business Park, EGL, Challaghatta, Domlur, Bengaluru, 560071', 'Best before 31-05-2023', '","Supermarket Grocery Supplies Private Limited, Fairway Business Park, EGL, Challaghatta, Domlur, Bengaluru, 560071",-,-,-,"Rolled Oats, Honey, Sunflower Seeds, Black Current(8%), Goji Berries(8%), Jaggery, Peanut, Cashew(6%), Butter, Jowar Millet Crisps, Chia Seeds, Rock Salt.",-,-
RET,RET-10,RET-10-18,RET-10-18-10,RET-10-18-10-14,GoodDiet,"GoodDiet Nutrition Energy Bar - Gojiberry, Blackcurrant & Cashews, 10x40 g Multipack","Looking for a guilt-free alternative for all your sweet cravings? GoodDiet Nutrition Energy Bar - Gojiberry, Blackcurrant & Cashews is a perfect pick for you. Packed with nutritional value and taste this sweet treat is perfect for the calorie-conscious. Created with hand-picked ingredients, the Gojiberry and Blackcurrant add a rich flavour and the cashew add a delicious crunch to this bar. Tasty and crumbly to relish, these energy bars are a perfect mix of crunchiness and sweetness. A healthy alternative for all the sweet snacks, these energy bars have no added preservatives and are perfect guilt-free snacks. These delicious, rich and handcrafted energy bars are perfect movie time snacks or for your after-workout munching purposes. With something for everyone, Fresho Signature's range of treats is prepared with the finest ingredients. Treat yourself to different kinds of granola, and cereal bars from Fresho's wide-ranging collection.
Features: 
On-the-go
Gluten and cholesterol-free
No added preservative",10x40 g Multipack,g,10x40 g Multipack,1,1,520,350.1,"134/A, 3rd floor, 6th main, 2nd stage, 3rd cross, Industrial Suburb, Yeshwantpur, Bangalore- 560022",India,['1205660'],-,https://datalabs.siva3.io/image/Eunimart_groceries_205660_1-gooddiet-nutrition-energy-bar-gojiberry-blackcurrant-cashews.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Ready to eat
Storage Information: Store in a cool, dry and hygienic place.","['EAN Code: 1205660', 'Country of origin: India', 'Manufacturer name & address: 134/A, 3rd floor, 6th main, 2nd stage, 3rd cross, Industrial Suburb, Yeshwantpur, Bangalore- 560022', 'Marketed by: Supermarket Grocery Supplies Private Limited, Fairway Business Park, EGL, Challaghatta, Domlur, Bengaluru, 560071', 'Best before 31-05-2023', '","Supermarket Grocery Supplies Private Limited, Fairway Business Park, EGL, Challaghatta, Domlur, Bengaluru, 560071",-,-,-,"Rolled Oats, Honey, Sunflower Seeds, Black Current(8%), Goji Berries(8%), Jaggery, Peanut, Cashew(6%), Butter, Jowar Millet Crisps, Chia Seeds, Rock Salt.",-,-
RET,RET-10,RET-10-18,RET-10-18-10,RET-10-18-10-14,GoodDiet,"GoodDiet Nutrition Energy Bar - Gojiberry, Blackcurrant & Cashews, 10x40 g Multipack","Looking for a guilt-free alternative for all your sweet cravings? GoodDiet Nutrition Energy Bar - Gojiberry, Blackcurrant & Cashews is a perfect pick for you. Packed with nutritional value and taste this sweet treat is perfect for the calorie-conscious. Created with hand-picked ingredients, the Gojiberry and Blackcurrant add a rich flavour and the cashew add a delicious crunch to this bar. Tasty and crumbly to relish, these energy bars are a perfect mix of crunchiness and sweetness. A healthy alternative for all the sweet snacks, these energy bars have no added preservatives and are perfect guilt-free snacks. These delicious, rich and handcrafted energy bars are perfect movie time snacks or for your after-workout munching purposes. With something for everyone, Fresho Signature's range of treats is prepared with the finest ingredients. Treat yourself to different kinds of granola, and cereal bars from Fresho's wide-ranging collection.
Features: 
On-the-go
Gluten and cholesterol-free
No added preservative",10x40 g Multipack,g,10x40 g Multipack,1,1,520,350.1,"134/A, 3rd floor, 6th main, 2nd stage, 3rd cross, Industrial Suburb, Yeshwantpur, Bangalore- 560022",India,['1205660'],-,https://datalabs.siva3.io/image/Eunimart_groceries_205660_1-gooddiet-nutrition-energy-bar-gojiberry-blackcurrant-cashews.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Ready to eat
Storage Information: Store in a cool, dry and hygienic place.","['EAN Code: 1205660', 'Country of origin: India', 'Manufacturer name & address: 134/A, 3rd floor, 6th main, 2nd stage, 3rd cross, Industrial Suburb, Yeshwantpur, Bangalore- 560022', 'Marketed by: Supermarket Grocery Supplies Private Limited, Fairway Business Park, EGL, Challaghatta, Domlur, Bengaluru, 560071', 'Best before 31-05-2023', '","Supermarket Grocery Supplies Private Limited, Fairway Business Park, EGL, Challaghatta, Domlur, Bengaluru, 560071",-,-,-,"Rolled Oats, Honey, Sunflower Seeds, Black Current(8%), Goji Berries(8%), Jaggery, Peanut, Cashew(6%), Butter, Jowar Millet Crisps, Chia Seeds, Rock Salt.",-,-
RET,RET-10,RET-10-18,RET-10-18-10,RET-10-18-10-14,GoodDiet,"GoodDiet Nutrition Energy Bar - Tropical Mango, Ginger & Sesame Seeds, 10x40 g Multipack","Looking for a fruity, tangy-sweet snack that is a perfect guilt-free alternative for all your sweet cravings? GoodDiet Nutrition Energy Bar - Tropical Mango, Ginger & Sesame Seeds is the perfect pick for you. Packed with nutritional value and taste this sweet snack is perfect for people who want the snack but don't want the extra calories. Created with hand-picked ingredients, the Dates & Walnut to this bar. Tasty and crumbly to relish, these energy bars are a perfect mix of crunchiness and sweetness. A healthy alternative for all the sweet snacks, these energy bars have no added preservatives and are perfect guilt-free snacks. These delicious, rich and handcrafted energy bars are perfect movie time snacks or for your after-workout munching purposes. With something for everyone, Fresho Signature's range of treats are prepared with the finest ingredients. Treat yourself to different kinds of granola, and cereal bars from Fresho's wide-ranging collection.
Features: 
On-the-go 
Gluten and cholesterol-free 
No added preservative",10x40 g Multipack,g,10x40 g Multipack,1,1,520,350.1,"134/A, 3rd floor, 6th main, 2nd stage, 3rd cross, Industrial Suburb, Yeshwantpur, Bangalore- 560022",India,['1205666'],-,https://datalabs.siva3.io/image/Eunimart_groceries_205666_1-gooddiet-nutrition-energy-bar-tropical-mango-ginger-sesame-seeds.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Ready to eat
Storage Information: Store in a cool, dry and hygienic place.","['EAN Code: 1205666', 'Country of origin: India', 'Manufacturer name & address: 134/A, 3rd floor, 6th main, 2nd stage, 3rd cross, Industrial Suburb, Yeshwantpur, Bangalore- 560022', 'Marketed by: Supermarket Grocery Supplies Private Limited, Fairway Business Park, EGL, Challaghatta, Domlur, Bengaluru, 560071', 'Best before 31-05-2023', '","Supermarket Grocery Supplies Private Limited, Fairway Business Park, EGL, Challaghatta, Domlur, Bengaluru, 560071",-,-,-,"Rolled Oats, Honey, Pumpkin Seeds, Dehydrated Mango(10%), Jaggery, Ginger(6%), Sesame Seeds(5%), Flax Seeds, Butter, Jowar Millet Crisps, Rock Salt.",-,-
RET,RET-10,RET-10-18,RET-10-18-10,RET-10-18-10-14,GoodDiet,"GoodDiet Nutrition Energy Bar - Tropical Mango, Ginger & Sesame Seeds, 10x40 g Multipack","Looking for a fruity, tangy-sweet snack that is a perfect guilt-free alternative for all your sweet cravings? GoodDiet Nutrition Energy Bar - Tropical Mango, Ginger & Sesame Seeds is the perfect pick for you. Packed with nutritional value and taste this sweet snack is perfect for people who want the snack but don't want the extra calories. Created with hand-picked ingredients, the Dates & Walnut to this bar. Tasty and crumbly to relish, these energy bars are a perfect mix of crunchiness and sweetness. A healthy alternative for all the sweet snacks, these energy bars have no added preservatives and are perfect guilt-free snacks. These delicious, rich and handcrafted energy bars are perfect movie time snacks or for your after-workout munching purposes. With something for everyone, Fresho Signature's range of treats are prepared with the finest ingredients. Treat yourself to different kinds of granola, and cereal bars from Fresho's wide-ranging collection.
Features: 
On-the-go 
Gluten and cholesterol-free 
No added preservative",10x40 g Multipack,g,10x40 g Multipack,1,1,520,350.1,"134/A, 3rd floor, 6th main, 2nd stage, 3rd cross, Industrial Suburb, Yeshwantpur, Bangalore- 560022",India,['1205666'],-,https://datalabs.siva3.io/image/Eunimart_groceries_205666_1-gooddiet-nutrition-energy-bar-tropical-mango-ginger-sesame-seeds.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Ready to eat
Storage Information: Store in a cool, dry and hygienic place.","['EAN Code: 1205666', 'Country of origin: India', 'Manufacturer name & address: 134/A, 3rd floor, 6th main, 2nd stage, 3rd cross, Industrial Suburb, Yeshwantpur, Bangalore- 560022', 'Marketed by: Supermarket Grocery Supplies Private Limited, Fairway Business Park, EGL, Challaghatta, Domlur, Bengaluru, 560071', 'Best before 31-05-2023', '","Supermarket Grocery Supplies Private Limited, Fairway Business Park, EGL, Challaghatta, Domlur, Bengaluru, 560071",-,-,-,"Rolled Oats, Honey, Pumpkin Seeds, Dehydrated Mango(10%), Jaggery, Ginger(6%), Sesame Seeds(5%), Flax Seeds, Butter, Jowar Millet Crisps, Rock Salt.",-,-
RET,RET-10,RET-10-18,RET-10-18-10,RET-10-18-10-14,GoodDiet,"GoodDiet Nutrition Energy Bar - Tropical Mango, Ginger & Sesame Seeds, 10x40 g Multipack","Looking for a fruity, tangy-sweet snack that is a perfect guilt-free alternative for all your sweet cravings? GoodDiet Nutrition Energy Bar - Tropical Mango, Ginger & Sesame Seeds is the perfect pick for you. Packed with nutritional value and taste this sweet snack is perfect for people who want the snack but don't want the extra calories. Created with hand-picked ingredients, the Dates & Walnut to this bar. Tasty and crumbly to relish, these energy bars are a perfect mix of crunchiness and sweetness. A healthy alternative for all the sweet snacks, these energy bars have no added preservatives and are perfect guilt-free snacks. These delicious, rich and handcrafted energy bars are perfect movie time snacks or for your after-workout munching purposes. With something for everyone, Fresho Signature's range of treats are prepared with the finest ingredients. Treat yourself to different kinds of granola, and cereal bars from Fresho's wide-ranging collection.
Features: 
On-the-go 
Gluten and cholesterol-free 
No added preservative",10x40 g Multipack,g,10x40 g Multipack,1,1,520,350.1,"134/A, 3rd floor, 6th main, 2nd stage, 3rd cross, Industrial Suburb, Yeshwantpur, Bangalore- 560022",India,['1205666'],-,https://datalabs.siva3.io/image/Eunimart_groceries_205666_1-gooddiet-nutrition-energy-bar-tropical-mango-ginger-sesame-seeds.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Ready to eat
Storage Information: Store in a cool, dry and hygienic place.","['EAN Code: 1205666', 'Country of origin: India', 'Manufacturer name & address: 134/A, 3rd floor, 6th main, 2nd stage, 3rd cross, Industrial Suburb, Yeshwantpur, Bangalore- 560022', 'Marketed by: Supermarket Grocery Supplies Private Limited, Fairway Business Park, EGL, Challaghatta, Domlur, Bengaluru, 560071', 'Best before 31-05-2023', '","Supermarket Grocery Supplies Private Limited, Fairway Business Park, EGL, Challaghatta, Domlur, Bengaluru, 560071",-,-,-,"Rolled Oats, Honey, Pumpkin Seeds, Dehydrated Mango(10%), Jaggery, Ginger(6%), Sesame Seeds(5%), Flax Seeds, Butter, Jowar Millet Crisps, Rock Salt.",-,-
RET,RET-10,RET-10-18,RET-10-18-10,RET-10-18-10-14,GoodDiet,"GoodDiet Nutrition Energy Bar - Tropical Mango, Ginger & Sesame Seeds, 10x40 g Multipack","Looking for a fruity, tangy-sweet snack that is a perfect guilt-free alternative for all your sweet cravings? GoodDiet Nutrition Energy Bar - Tropical Mango, Ginger & Sesame Seeds is the perfect pick for you. Packed with nutritional value and taste this sweet snack is perfect for people who want the snack but don't want the extra calories. Created with hand-picked ingredients, the Dates & Walnut to this bar. Tasty and crumbly to relish, these energy bars are a perfect mix of crunchiness and sweetness. A healthy alternative for all the sweet snacks, these energy bars have no added preservatives and are perfect guilt-free snacks. These delicious, rich and handcrafted energy bars are perfect movie time snacks or for your after-workout munching purposes. With something for everyone, Fresho Signature's range of treats are prepared with the finest ingredients. Treat yourself to different kinds of granola, and cereal bars from Fresho's wide-ranging collection.
Features: 
On-the-go 
Gluten and cholesterol-free 
No added preservative",10x40 g Multipack,g,10x40 g Multipack,1,1,520,350.1,"134/A, 3rd floor, 6th main, 2nd stage, 3rd cross, Industrial Suburb, Yeshwantpur, Bangalore- 560022",India,['1205666'],-,https://datalabs.siva3.io/image/Eunimart_groceries_205666_1-gooddiet-nutrition-energy-bar-tropical-mango-ginger-sesame-seeds.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Ready to eat
Storage Information: Store in a cool, dry and hygienic place.","['EAN Code: 1205666', 'Country of origin: India', 'Manufacturer name & address: 134/A, 3rd floor, 6th main, 2nd stage, 3rd cross, Industrial Suburb, Yeshwantpur, Bangalore- 560022', 'Marketed by: Supermarket Grocery Supplies Private Limited, Fairway Business Park, EGL, Challaghatta, Domlur, Bengaluru, 560071', 'Best before 31-05-2023', '","Supermarket Grocery Supplies Private Limited, Fairway Business Park, EGL, Challaghatta, Domlur, Bengaluru, 560071",-,-,-,"Rolled Oats, Honey, Pumpkin Seeds, Dehydrated Mango(10%), Jaggery, Ginger(6%), Sesame Seeds(5%), Flax Seeds, Butter, Jowar Millet Crisps, Rock Salt.",-,-
RET,RET-10,RET-10-18,RET-10-18-10,RET-10-18-10-14,GoodDiet,"GoodDiet Nutrition Energy Bar - Tropical Mango, Ginger & Sesame Seeds, 10x40 g Multipack","Looking for a fruity, tangy-sweet snack that is a perfect guilt-free alternative for all your sweet cravings? GoodDiet Nutrition Energy Bar - Tropical Mango, Ginger & Sesame Seeds is the perfect pick for you. Packed with nutritional value and taste this sweet snack is perfect for people who want the snack but don't want the extra calories. Created with hand-picked ingredients, the Dates & Walnut to this bar. Tasty and crumbly to relish, these energy bars are a perfect mix of crunchiness and sweetness. A healthy alternative for all the sweet snacks, these energy bars have no added preservatives and are perfect guilt-free snacks. These delicious, rich and handcrafted energy bars are perfect movie time snacks or for your after-workout munching purposes. With something for everyone, Fresho Signature's range of treats are prepared with the finest ingredients. Treat yourself to different kinds of granola, and cereal bars from Fresho's wide-ranging collection.
Features: 
On-the-go 
Gluten and cholesterol-free 
No added preservative",10x40 g Multipack,g,10x40 g Multipack,1,1,520,350.1,"134/A, 3rd floor, 6th main, 2nd stage, 3rd cross, Industrial Suburb, Yeshwantpur, Bangalore- 560022",India,['1205666'],-,https://datalabs.siva3.io/image/Eunimart_groceries_205666_1-gooddiet-nutrition-energy-bar-tropical-mango-ginger-sesame-seeds.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Ready to eat
Storage Information: Store in a cool, dry and hygienic place.","['EAN Code: 1205666', 'Country of origin: India', 'Manufacturer name & address: 134/A, 3rd floor, 6th main, 2nd stage, 3rd cross, Industrial Suburb, Yeshwantpur, Bangalore- 560022', 'Marketed by: Supermarket Grocery Supplies Private Limited, Fairway Business Park, EGL, Challaghatta, Domlur, Bengaluru, 560071', 'Best before 31-05-2023', '","Supermarket Grocery Supplies Private Limited, Fairway Business Park, EGL, Challaghatta, Domlur, Bengaluru, 560071",-,-,-,"Rolled Oats, Honey, Pumpkin Seeds, Dehydrated Mango(10%), Jaggery, Ginger(6%), Sesame Seeds(5%), Flax Seeds, Butter, Jowar Millet Crisps, Rock Salt.",-,-
RET,RET-10,RET-10-18,RET-10-18-10,RET-10-18-10-14,GoodDiet,"GoodDiet Quinoa Muesli - With Nuts & Seeds, 350 g","On the lookout for a healthy breakfast option? GoodDiet Quinoa Muesli- With Nuts & Seeds is your best bet. It is loaded with the goodness of quinoa with oats, nuts, and seeds. Combining the best of health and deliciousness, this crispy, crunchy muesli is not only healthy but delicious too! It is an ideal option for breakfast and or as an evening snack. Made from premium quality ingredients, add this muesli to a bowl of milk and fruits to enjoy this crunchy goodness. These delicious and healthy flakes are perfect to be served as breakfast but can also be used as a healthy baking ingredient.
Features: 
No added preservatives
High in fibre 
Zero trans fat",350 g,g,350 g,1,1,389,269,"CHRISTY FOODS (GoodDiet), Christy foods 1/374 , Chettikadu, Andipalayam, Tiruchengode, Namakkal, Tamil Nadu-637214",India,['8904256708330'],['10019043002767'],https://datalabs.siva3.io/image/Eunimart_groceries_40131422_10-gooddiet-quinoa-muesli-with-nuts-seeds.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40131422-2_8-gooddiet-quinoa-muesli-with-nuts-seeds.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40131422-3_8-gooddiet-quinoa-muesli-with-nuts-seeds.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40131422-4_8-gooddiet-quinoa-muesli-with-nuts-seeds.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40131422-5_7-gooddiet-quinoa-muesli-with-nuts-seeds.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40131422-6_7-gooddiet-quinoa-muesli-with-nuts-seeds.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40131422-7_2-gooddiet-quinoa-muesli-with-nuts-seeds.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40131422-8_2-gooddiet-quinoa-muesli-with-nuts-seeds.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Add in a cup of hot/cold milk
Garnish with fruits of your choice
Enjoy your healthy, nutritious meal
Storage Information: Store in ambient temperature and dry, hygienic place, away from sunlight and heat source.
Please refrigerate after opening.","['EAN Code: 8904256708330', 'Country Of Origin: India', 'Manufacturer name & address: CHRISTY FOODS (GoodDiet), Christy foods 1/374 , Chettikadu, Andipalayam, Tiruchengode, Namakkal, Tamil Nadu-637214', 'FSSAI Number: 10015042002229', 'Marketed by: Supermarket Grocery Supplies Private Limited, Fairway Business Park, EGL, Challaghatta, Domlur, Bengaluru, 560071', 'FSSAI Number: 10019043002767', 'Best before 30-06-2023', '","Supermarket Grocery Supplies Private Limited, Fairway Business Park, EGL, Challaghatta, Domlur, Bengaluru, 560071",-,-,-,"Extruded Quinoa Flakes, Rolled Oats, Jaggery Syrup, Iodized Salt, Honey, Almonds, Raisin, Pumpkin Seeds, Flax Seeds, Chia Seeds, Vanilla Flavour, Edible Vegetable Oil, Antioxidant.",-,-
