L0 Domain,L1 Sub-Domain,L2 Category,L3 Sub-Category,L4 Product Enum-Code,Brand,Product Name,Product Description,Product Quantity,UOM,Net Quantity,Pack Quantity,Pack Size,MRP,Price,Manufacturer,Country Of Origin,UPC/EAN,FSSAI no,Images,Images / Video,Images.3,Images.4,Images.5,SKU Code,Customer Care Contact,Time to Ship,Returnable (Y/N),Cancellable (Y/N),COD available (Y/N),Preservatives (Y/N),Preservatives (details),Flavours & Spices,Ready to cook (Y/N),Ready to eat (Y/N),Rice grain type,Recommended Age,Scented/ Flavour,Herbal/ Ayurvedic,Theme/ Occasion Type,Hair Type,Mineral Source,Caffeine Content,Capacity,Benefits,Usage,Other details,Marketed By,Baby Weight,Absorption Duration (in Hrs),Care Instruction,Ingredients,Package Contains
to-,to-be-,to-be-sug,to-be-sugges,to-be-suggested,Fresho,"Fresho Marigold Flower - Yellow, 100 g","Marigolds have daisy-like or twice, carnation-like flower heads and are produced separately or in clusters. Marigolds come in special colours, yellow and orange being the most common. It is used for pooja needs and floral decoration. 
Product image shown is for representation purpose only, the actual product may vary based on season, produce & availability.",100 g,g,100 g,1,1,15.07,11.45,Fresho,India,['20001186'],-,https://datalabs.siva3.io/image/Eunimart_groceries_20001186_11-fresho-marigold-flower-yellow.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_20001186-2_21-fresho-marigold-flower-yellow.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_20001186-3_4-fresho-marigold-flower-yellow.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_20001186-4_1-fresho-marigold-flower-yellow.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_20001186-5_1-fresho-marigold-flower-yellow.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,You can use marigold as ingestion which means tea infusion. Marigold can be used as lotions and creams for wounds. It can also be used as gargles or mouthwashes.,"[{'EAN Code': '20001186'}, {'Country of origin': 'India'}]",-,-,-,-,-,-
to-,to-be-,to-be-sug,to-be-sugges,to-be-suggested,Fresho,"Fresho Marigold Flower - Yellow, 100 g","Marigolds have daisy-like or twice, carnation-like flower heads and are produced separately or in clusters. Marigolds come in special colours, yellow and orange being the most common. It is used for pooja needs and floral decoration. 
Product image shown is for representation purpose only, the actual product may vary based on season, produce & availability.",100 g,g,100 g,1,1,15.07,11.45,Fresho,India,['20001186'],-,https://datalabs.siva3.io/image/Eunimart_groceries_20001186_11-fresho-marigold-flower-yellow.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_20001186-2_21-fresho-marigold-flower-yellow.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_20001186-3_4-fresho-marigold-flower-yellow.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_20001186-4_1-fresho-marigold-flower-yellow.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_20001186-5_1-fresho-marigold-flower-yellow.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,You can use marigold as ingestion which means tea infusion. Marigold can be used as lotions and creams for wounds. It can also be used as gargles or mouthwashes.,"[{'EAN Code': '20001186'}, {'Country of origin': 'India'}]",-,-,-,-,-,-
to-,to-be-,to-be-sug,to-be-sugges,to-be-suggested,Fresho,"Fresho Rose - Red, 100 g","BB indroduces the variety of Flowers and pooja needs for your Pooja offering.
Product image shown is for representation purpose only, the actually product may vary based on season, produce & availability.",100 g,g,100 g,1,1,13.82,10.5,Fresho,India,['30007036'],-,https://datalabs.siva3.io/image/Eunimart_groceries_30007036_2-fresho-rose-red.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"[{'EAN Code': '30007036'}, {'Country of origin': 'India'}]",-,-,-,-,-,-
to-,to-be-,to-be-sug,to-be-sugges,to-be-suggested,Hoovu Fresh,"Hoovu Fresh Assorted Puja Flowers + Greens Mix, 100 g","These Assorted Puja Flowers + Greens Mix are perfect for your daily puja needs. Mixed with a variety of fresh flowers and green mix, all the items are hygienically packed.",100 g,g,100 g,1,1,108.55,82.5,"Supermarket Grocery Supplies Pvt. Ltd,The Fairway Business Park,Challaghatta Village, Behind Dell,Next to Embassy Golf Links, Domlur,Bangalore, Karnataka 560071",India,['2377898400006'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40196773_1-hoovu-fresh-assorted-puja-flowers-greens-mix.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"[{'EAN Code': '2377898400006'}, {'Country of origin': 'India'}, {'Manufactured & Marketed By': 'Supermarket Grocery Supplies Pvt. Ltd,The Fairway Business Park,Challaghatta Village, Behind Dell,Next to Embassy Golf Links, Domlur,Bangalore, Karnataka 560071'}]","Supermarket Grocery Supplies Pvt. Ltd,The Fairway Business Park,Challaghatta Village, Behind Dell,Next to Embassy Golf Links, Domlur,Bangalore, Karnataka 560071",-,-,-,-,-
to-,to-be-,to-be-sug,to-be-sugges,to-be-suggested,Hoovu Fresh,"Hoovu Fresh Assorted Puja Flowers, 100 g","These Assorted Puja Flowers are perfect for your daily puja needs. Mixed with a variety of fresh flowers and green mix, all the items are hygienically packed.",100 g,g,100 g,1,1,115.13,87.5,"Supermarket Grocery Supplies Pvt. Ltd,The Fairway Business Park,Challaghatta Village, Behind Dell,Next to Embassy Golf Links, Domlur,Bangalore, Karnataka 560071",India,['2377897600001'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40196765_1-hoovu-fresh-assorted-puja-flowers.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"[{'EAN Code': '2377897600001'}, {'Country of origin': 'India'}, {'Manufactured & Marketed By': 'Supermarket Grocery Supplies Pvt. Ltd,The Fairway Business Park,Challaghatta Village, Behind Dell,Next to Embassy Golf Links, Domlur,Bangalore, Karnataka 560071'}]","Supermarket Grocery Supplies Pvt. Ltd,The Fairway Business Park,Challaghatta Village, Behind Dell,Next to Embassy Golf Links, Domlur,Bangalore, Karnataka 560071",-,-,-,-,-
to-,to-be-,to-be-sug,to-be-sugges,to-be-suggested,Hoovu Fresh,"Hoovu Fresh Chrysanthemums Puja Mola, 1 Mola(35cm)",The Sevanthi mola is a classic in daily puja - it will brighten up the puja room and it will last super long!,1 Mola(35cm),cm,1 Mola(35cm),1,1,104.61,79.5,"Supermarket Grocery Supplies Pvt. Ltd,The Fairway Business Park,Challaghatta Village, Behind Dell,Next to Embassy Golf Links, Domlur,Bangalore, Karnataka 560071",India,['40196770'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40196770_1-hoovu-fresh-chrysanthemums-puja-mola.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"[{'EAN Code': '40196770'}, {'Country of origin': 'India'}, {'Manufactured & Marketed By': 'Supermarket Grocery Supplies Pvt. Ltd,The Fairway Business Park,Challaghatta Village, Behind Dell,Next to Embassy Golf Links, Domlur,Bangalore, Karnataka 560071'}]","Supermarket Grocery Supplies Pvt. Ltd,The Fairway Business Park,Challaghatta Village, Behind Dell,Next to Embassy Golf Links, Domlur,Bangalore, Karnataka 560071",-,-,-,-,-
to-,to-be-,to-be-sug,to-be-sugges,to-be-suggested,Hoovu Fresh,"Hoovu Fresh Ekkada Hoovu String, 40 cm","Rosebazaar Ekkada Hoovu String is a garland made of Ekkada Hoovu. Among the 21 flowers offered to Lord Ganesha during Patra Pooja/leaves offering ritual, Arka/Yekkada Flower is One of Them. This garland is used to offer to the lord Ganesha during special pooja. Offering of flower to Ganesha cures one of all ills, physical, mental and spiritual.",40 cm,cm,40 cm,1,1,175.66,133.5,"Supermarket Grocery Supplies Private Limited, Fairway Business Park, EGL, Challaghatta, Domlur, Bengaluru, 560071",India,['40214548'],['10015042002228'],https://datalabs.siva3.io/image/Eunimart_groceries_40214548_1-hoovu-fresh-ekkada-hoovu-string.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Offering of this flower to Ganesha cures one of all ills, physical, mental and spiritual.","[{'EAN Code': '40214548'}, {'Country of origin': 'India'}, {'Manufacturer & Marketed by': 'Supermarket Grocery Supplies Private Limited, Fairway Business Park, EGL, Challaghatta, Domlur, Bengaluru, 560071'}, {'FSSAI Number': '10015042002228'}]","Supermarket Grocery Supplies Private Limited, Fairway Business Park, EGL, Challaghatta, Domlur, Bengaluru, 560071",-,-,"Well Maintained and kept away from sunlight.
Sprinkle water for long Life.",Ekkada.,-
to-,to-be-,to-be-sug,to-be-sugges,to-be-suggested,Hoovu Fresh,"Hoovu Fresh Jasmine Mala, 1 Mola(35cm)",Infuse your home with the rich and sweet scent of jasmine.,1 Mola(35cm),cm,1 Mola(35cm),1,1,101.32,77,"Supermarket Grocery Supplies Pvt. Ltd,The Fairway Business Park,Challaghatta Village, Behind Dell,Next to Embassy Golf Links, Domlur,Bangalore, Karnataka 560071",India,['40196769'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40196769_1-hoovu-fresh-jasmine-mala.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"[{'EAN Code': '40196769'}, {'Country of origin': 'India'}, {'Manufactured & Marketed By': 'Supermarket Grocery Supplies Pvt. Ltd,The Fairway Business Park,Challaghatta Village, Behind Dell,Next to Embassy Golf Links, Domlur,Bangalore, Karnataka 560071'}]","Supermarket Grocery Supplies Pvt. Ltd,The Fairway Business Park,Challaghatta Village, Behind Dell,Next to Embassy Golf Links, Domlur,Bangalore, Karnataka 560071",-,-,-,-,-
to-,to-be-,to-be-sug,to-be-sugges,to-be-suggested,Hoovu Fresh,"Hoovu Fresh Lotus, 2 Stems","The Lotus symbolises not only purity, beauty and grace but also majesty, fertility, wealth, richness, knowledge and serenity. It is a gorgeous flower that is perfect for offering to god in puja.
At Rose Bazaar you have the option of getting two beautiful pink lotus stems delivered right to your doorstep -- tailored to your schedule!",2 Stems,Stems,2 Stems,1,1,288.82,219.5,"Supermarket Grocery Supplies Pvt. Ltd,The Fairway Business Park,Challaghatta Village, Behind Dell,Next to Embassy Golf Links, Domlur,Bangalore, Karnataka 560071",India,['2377898300009'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40196772_1-hoovu-fresh-lotus.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"[{'EAN Code': '2377898300009'}, {'Country of origin': 'India'}, {'Manufactured & Marketed By': 'Supermarket Grocery Supplies Pvt. Ltd,The Fairway Business Park,Challaghatta Village, Behind Dell,Next to Embassy Golf Links, Domlur,Bangalore, Karnataka 560071'}]","Supermarket Grocery Supplies Pvt. Ltd,The Fairway Business Park,Challaghatta Village, Behind Dell,Next to Embassy Golf Links, Domlur,Bangalore, Karnataka 560071",-,-,-,-,-
to-,to-be-,to-be-sug,to-be-sugges,to-be-suggested,Hoovu Fresh,"Hoovu Fresh Marigold String, 40 cm","Rosebazaar Marigold String is a garland-like decorative, made out of marigold flowers. It is used to decorate the doors of homes or any other places in all Hindu festivals and auspicious occasions, like puja of a deity or even wedding functions. These strings are made from fresh marigold flowers. Thoranas are available in different forms. These make a beautiful decoration.",40 cm,cm,40 cm,1,1,90.79,69,"Supermarket Grocery Supplies Private Limited, Fairway Business Park, EGL, Challaghatta, Domlur, Bengaluru, 560071",India,['40214550'],['10015042002228'],https://datalabs.siva3.io/image/Eunimart_groceries_40214550_1-hoovu-fresh-marigold-string.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1. It makes a beautiful doorway entrance or great wall decor.
2. It is easy to hang and is made from fresh flowers.","[{'EAN Code': '40214550'}, {'Country of origin': 'India'}, {'Manufacturer & Marketed by': 'Supermarket Grocery Supplies Private Limited, Fairway Business Park, EGL, Challaghatta, Domlur, Bengaluru, 560071'}, {'FSSAI Number': '10015042002228'}]","Supermarket Grocery Supplies Private Limited, Fairway Business Park, EGL, Challaghatta, Domlur, Bengaluru, 560071",-,-,"1. Well Maintained and kept away from sunlight.
2. Sprinkle water for long life.",Marigold.,-
to-,to-be-,to-be-sug,to-be-sugges,to-be-suggested,Hoovu Fresh,"Hoovu Fresh Rajnigandha Puja Mola, 1 Mola (35cm)",This fragrant white flower known as Sugandhraja or Rajnigandha is a staple in daily puja! Now get it delivered to your doorstep to start your day off right.,1 Mola (35cm),cm,1 Mola (35cm),1,1,107.24,81.5,"Supermarket Grocery Supplies Pvt. Ltd,The Fairway Business Park,Challaghatta Village, Behind Dell,Next to Embassy Golf Links, Domlur,Bangalore, Karnataka 560071",India,['40196771'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40196771_1-hoovu-fresh-rajnigandha-puja-mola.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"[{'EAN Code': '40196771'}, {'Country of origin': 'India'}, {'Manufactured & Marketed By': 'Supermarket Grocery Supplies Pvt. Ltd,The Fairway Business Park,Challaghatta Village, Behind Dell,Next to Embassy Golf Links, Domlur,Bangalore, Karnataka 560071'}]","Supermarket Grocery Supplies Pvt. Ltd,The Fairway Business Park,Challaghatta Village, Behind Dell,Next to Embassy Golf Links, Domlur,Bangalore, Karnataka 560071",-,-,-,-,-
to-,to-be-,to-be-sug,to-be-sugges,to-be-suggested,Hoovu Fresh,"Hoovu Fresh Rose Mola/String, 40 cm","Rose Mola/String make the diety look very beautiful. You can garland your favourite deity with these flowers. Use it during morning or evening pooja time.Product image shown is for representation purpose only, the actual product may vary based on season, produce & availability.",40 cm,cm,40 cm,1,1,100,76,Bigbasket Innovative Retail Concept Pvt. Ltd,India,['40222660'],['10015042002228'],https://datalabs.siva3.io/image/Eunimart_groceries_40222660_1-hoovu-fresh-rose-molastring.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"[{'EAN Code': '40222660'}, {'Country Of Origin': 'India'}, {'Manufacturer Name and ': 'Bigbasket Innovative Retail Concept Pvt. Ltd'}, {'FSSAI Number': '10015042002228'}]",-,-,-,-,-,-
to-,to-be-,to-be-sug,to-be-sugges,to-be-suggested,Hoovu Fresh,"Hoovu Fresh Tulsi Mola, 40 cm",Fresho brings to you Tulsi Mola that is perfect for everyday use. They are perfect for decoration purpose. It is traditionally offered to God's and Goddesses. Tulsi plant is said to be an earthly form of the goddess. Perfect for any festival or occasions.,40 cm,cm,40 cm,1,1,90.79,69,Hoovu ,India,40202206,1.00E+13,https://datalabs.siva3.io/image/Eunimart_groceries_40202206_1-hoovu-fresh-tulsi-mola.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Perfect for everyday use.
Variety of flowers. 
Fresh flowers.",-,"[{'EAN Code': '40202206 FSSAI Number: 10015042002228 Sourced & Marketed By: Supermarket Grocery Supplies Pvt. Ltd., The Fairway Business Park, Challaghatta Village, Behind Dell, Next to Embassy Golf Links, Domlur,Bangalore, Karnataka 560071. Country Of Origin: India Best before 1 days from delivery date ","40202206 FSSAI Number: 10015042002228 Sourced & Marketed By: Supermarket Grocery Supplies Pvt. Ltd., The Fairway Business Park, Challaghatta Village, Behind Dell, Next to Embassy Golf Links, Domlur,Bangalore, Karnataka 560071. Country Of Origin: India Best before 1 days from delivery date For Queries/Feedback/Complaints, Contact our Customer Care Executive at: Phone: 1860 123 1000 | Address: Innovative Retail Concepts Private Limited, Ranka Junction 4th Floor, Tin Factory bus stop. KR Puram, Bangalore - 560016 Email:customerservice@bigbasket.com",-,-,-,Tulsi Mola.,-
to-,to-be-,to-be-sug,to-be-sugges,to-be-suggested,Shades of Spring,"Shades of Spring Designers Choice Bouquet Surprise Box - Without Vase, Farm Fresh, 1 Pc","Love flowers in your vase but running out of time to arrange? Leave it to us, our florists are the maestros of designing the most alluring bouquets, the designer choice bouquet is a surprise bouquet curated by our florist to astonish you with the most unique and beautiful mix of floral arrangements. A number of stems 15, Flowers are Farm Fresh with avg Vase Life of 5-7 days. Delivered with a water pack and in bud form for longer Vase Life.",1 Pc,pcs,1 Pc,1,1,354.63,354.63,"Mahima Worldwide 17TH MAIN ROAD, MIG 103, KHB COLONY, 5TH BLOCK, KORAMANGALA, Bengaluru (Bangalore) Urban, Karnataka, 560095",India,['40234328'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40234328_1-shades-of-spring-designers-choice-bouquet-surprise-box-without-vase-farm-fresh.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40234328-2_1-shades-of-spring-designers-choice-bouquet-surprise-box-without-vase-farm-fresh.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,#NAME?,-,"[{'EAN Code': '40234328'}, {'Country Of Origin': 'India'}, {'Manufacturer Name and ': 'Mahima Worldwide 17TH MAIN ROAD, MIG 103, KHB COLONY, 5TH BLOCK, KORAMANGALA, Bengaluru (Bangalore) Urban, Karnataka, 560095'}, {'FSSAI Number': ''}]",-,-,-,-,-,"1. 15 Stems of flowers, hand-tied in the form of a beautiful bouquet
2. 5 stems of Leaf/fillers
3. 1 Flower Food Sachet
4. 1 Flower instruction card"
