L0 Domain,L1 Sub-Domain,L2 Category,L3 Sub-Category,L4 Product Enum-Code,Brand,Product Name,Product Description,Product Quantity,UOM,Net Quantity,Pack Quantity,Pack Size,MRP,Price,Manufacturer,Country Of Origin,UPC/EAN,FSSAI no,Images,Images / Video,Images.3,Images.4,Images.5,Images.6,Images.7,Images.8,Images.9,Images.10,SKU Code,Customer Care Contact,Time to Ship,Returnable (Y/N),Cancellable (Y/N),COD available (Y/N),Preservatives (Y/N),Preservatives (details),Flavours & Spices,Ready to cook (Y/N),Ready to eat (Y/N),Rice grain type,Recommended Age,Scented/ Flavour,Herbal/ Ayurvedic,Theme/ Occasion Type,Hair Type,Mineral Source,Caffeine Content,Capacity,Composition,Benefits,Usage,Other details,Marketed By,Baby Weight,Absorption Duration (in Hrs),Features,Ingredients,Ingredient,Specification,Package Contains,About
RET,RET-10,RET-10-10,RET-10-10-10,RET-10-10-10-12,MAXI,"MAXI Dolls Junior Toothbrush - Helps Maintain Oral Hygiene, 2 pcs (Buy 1 Get 1 Free)",This toothbrush has feather-like special super end-rounded bristles ingeniously purposed for baby's delicate gums & teeth. Soft bristles are easy on the tender mouth tissues of the children. Maxi's toothbrush's comfortable grip helps the kid to clean his/her teeth gently yet thoroughly. Introduce your kid to the fun way of brushing teeth.,2 pcs (Buy 1 Get 1 Free),pcs (Buy  Get  Free),2 pcs (Buy 1 Get 1 Free),2,1,45,45,"Maxi Store : Unit No. 1, B Wing, Upper ground floor, Virwani Industrial Estate, Goregaon East, Mumbai - 400063, Maharashtra",India,['8908002466157'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40239258_1-maxi-dolls-junior-toothbrush-soft-bristles-deep-cleaning-action.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40239258-2_1-maxi-dolls-junior-toothbrush-soft-bristles-deep-cleaning-action.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40239258-3_1-maxi-dolls-junior-toothbrush-soft-bristles-deep-cleaning-action.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40239258-4_1-maxi-dolls-junior-toothbrush-soft-bristles-deep-cleaning-action.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40239258-5_1-maxi-dolls-junior-toothbrush-soft-bristles-deep-cleaning-action.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40239258-6_1-maxi-dolls-junior-toothbrush-soft-bristles-deep-cleaning-action.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40239258-7_1-maxi-dolls-junior-toothbrush-soft-bristles-deep-cleaning-action.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Use twice daily for optimal oral hygiene.,"['EAN Code: 8908002466157', ': India', 'Manufactured & Marketed by:Maxi Store : Unit No. 1, B Wing, Upper ground floor, Virwani Industrial Estate, Goregaon East, Mumbai - 400063, Maharashtra', 'Country of Origin:India', 'Best before 01-03-2025', '","Maxi Store : Unit No. 1, B Wing, Upper ground floor, Virwani Industrial Estate, Goregaon East, Mumbai - 400063, Maharashtra",-,-,Feather-like special super end-rounded bristles ingeniously purposed for baby‚s delicate gums & teeth. Soft bristles Comfortable handle with grip,-,-,-,-,-
RET,RET-10,RET-10-10,RET-10-10-10,RET-10-10-10-12,MAXI,"MAXI Lollipop Tongue Cleaner For Kids - Easy To Use, Dual-Action Multi-Layer Design, 2 pcs (Buy 1 Get 1 Free)","Maxi Lollipop Tongue Cleaner for kids, Candy, and watermelon-shaped tongue cleaner with dual action (Buy 1 Get 1 Free). It comes with a scraper side and Massager Side, Easy to use (Pack of 2). It has a patented dual-action multi-layer designed plastic tongue cleaner to clean and massage the tongue. Double action - scraper and finisher side for optimum cleaning and oral hygiene. candy swirly shaped and watermelon fruit-shaped tongue cleaner. fun to use, attractive. transparent colours.",2 pcs (Buy 1 Get 1 Free),pcs (Buy  Get  Free),2 pcs (Buy 1 Get 1 Free),2,1,50,50,"Maxi Store : Unit No. 1, B Wing, Upper ground floor, Virwani Industrial Estate, Goregaon East, Mumbai - 400063, Maharashtra",India,['8908002466782'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40251055_3-maxi-lollipop-tongue-cleaner-for-kids.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40251055-2_3-maxi-lollipop-tongue-cleaner-for-kids.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40251055-3_3-maxi-lollipop-tongue-cleaner-for-kids.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40251055-4_3-maxi-lollipop-tongue-cleaner-for-kids.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40251055-5_3-maxi-lollipop-tongue-cleaner-for-kids.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40251055-6_3-maxi-lollipop-tongue-cleaner-for-kids.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40251055-7_2-maxi-lollipop-tongue-cleaner-for-kids.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40251055-8_2-maxi-lollipop-tongue-cleaner-for-kids.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Use after brushing for optimum oral hygiene.,"['EAN Code: 8908002466782', ': India', 'Manufactured & Marketed by:Maxi Store : Unit No. 1, B Wing, Upper ground floor, Virwani Industrial Estate, Goregaon East, Mumbai - 400063, Maharashtra', 'Country of Origin:India', 'Best before 31-08-2024', '","Maxi Store : Unit No. 1, B Wing, Upper ground floor, Virwani Industrial Estate, Goregaon East, Mumbai - 400063, Maharashtra",-,-,"Made from Premium quality, BPA free material, Zero toxicity 2X softer lips gentle on baby's delicate oral cavity",-,-,-,-,-
RET,RET-10,RET-10-10,RET-10-10-10,RET-10-10-10-12,MAXI,"MAXI Ping Pong Junior Toothbrush, 2 pc (Buy 1 Get 1 Free)","MAXI Ping Pong Junior Toothbrush (Buy 1 Get 1 Free): Soft bristles for 2+ Years, Multicolor. Feather like special super end-rounded bristles ingeniously purposed for baby‚s delicate gums & teeth. Attractive toothbrushes that make brushing fun.",2 pc (Buy 1 Get 1 Free),pc (Buy  Get  Free),2 pc (Buy 1 Get 1 Free),2,1,30,30,"Maxi Store : Unit No. 1, B Wing, Upper ground floor, Virwani Industrial Estate, Goregaon East, Mumbai - 400063, Maharashtra",India,-,-,https://datalabs.siva3.io/image/Eunimart_groceries_40269099_2-maxi-ping-pong-junior-toothbrush-with-soft-bristles-5-years-above-helps-clean-teeth-gums.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40269099-2_2-maxi-ping-pong-junior-toothbrush-with-soft-bristles-5-years-above-helps-clean-teeth-gums.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40269099-3_1-maxi-ping-pong-junior-toothbrush-with-soft-bristles-5-years-above-helps-clean-teeth-gums.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40269099-4_1-maxi-ping-pong-junior-toothbrush-with-soft-bristles-5-years-above-helps-clean-teeth-gums.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40269099-5_1-maxi-ping-pong-junior-toothbrush-with-soft-bristles-5-years-above-helps-clean-teeth-gums.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40269099-6_1-maxi-ping-pong-junior-toothbrush-with-soft-bristles-5-years-above-helps-clean-teeth-gums.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40269099-7_1-maxi-ping-pong-junior-toothbrush-with-soft-bristles-5-years-above-helps-clean-teeth-gums.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Superior quality bristles Gripping Attractive designs and colours Children friendly,It is used to clean teeth and tongue of kids.,"['EAN Code', 'Manufactured & Marketed by:Maxi Store : Unit No. 1, B Wing, Upper ground floor, Virwani Industrial Estate, Goregaon East, Mumbai - 400063, Maharashtra', 'Country of Origin:India', 'Best before 01-09-2023', '","Maxi Store : Unit No. 1, B Wing, Upper ground floor, Virwani Industrial Estate, Goregaon East, Mumbai - 400063, Maharashtra",-,-,-,-,-,Brand: - MAXI. Type: - Toothbrush. Material: - Plastic. Dimensions: - 0.43x2.31x0.4 Weight: - 32 g. Package Content: - 2 pcs. Multi Pack (Yes / No): - Yes.,-,-
RET,RET-10,RET-10-10,RET-10-10-10,RET-10-10-10-12,MAXI,"MAXI TomTom Junior Toothbrush - Soft Bristles, For Oral Hygiene, 2+ Years, 2 pcs (Buy 1 Get 1 Free)",Soft bristles are easy on the tender mouth tissues of children. Maxi Tom Tom Junior Toothbrush has a comfortable grip that helps your kid to clean his/her teeth gently yet thoroughly. This toothbrush has a compact head design which reduces the ‚œgagging‚ reflex and enables extended reach further back the ‚tongue‚ where most odours cause bacteria to reside. It is a unisex product that can be used by anyone. It has an anti-slip proof handle grip and funny colourful characters. It removes surface stains and polishes teeth. It works gently on enamel and gums and helps remove up to 90 per cent of plaque in hard-to-reach places.,2 pcs (Buy 1 Get 1 Free),pcs (Buy  Get  Free),2 pcs (Buy 1 Get 1 Free),2,1,30,30,"Maxi Store : Unit No. 1, B Wing, Upper ground floor, Virwani Industrial Estate, Goregaon East, Mumbai - 400063, Maharashtra",India,['8908002466324'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40259885_2-maxi-maxi-tomtom-junior-toothbrush-buy-1-get-1-free.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40259885-2_2-maxi-maxi-tomtom-junior-toothbrush-buy-1-get-1-free.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40259885-3_1-maxi-maxi-tomtom-junior-toothbrush-buy-1-get-1-free.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40259885-4_1-maxi-maxi-tomtom-junior-toothbrush-buy-1-get-1-free.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40259885-5_1-maxi-maxi-tomtom-junior-toothbrush-buy-1-get-1-free.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40259885-6_1-maxi-maxi-tomtom-junior-toothbrush-buy-1-get-1-free.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Brush twice for maintaining healthy oral hygiene. Wake up in the morning and brush your teeth thoroughly. Use it in an upward and downward movement for effective use.,"['EAN Code: 8908002466324', ': India', 'Manufactured & Marketed by:Maxi Store : Unit No. 1, B Wing, Upper ground floor, Virwani Industrial Estate, Goregaon East, Mumbai - 400063, Maharashtra', 'Country of Origin:India', 'Best before __PSL__ days from delivery date', '","Maxi Store : Unit No. 1, B Wing, Upper ground floor, Virwani Industrial Estate, Goregaon East, Mumbai - 400063, Maharashtra",-,-,It has a comfortable grip and is anti-slip proof. Has a compact head design. It cleans the mouth of all bacteria and bad germs. It is available in a pouch of 32.4 g. It can be used for a long period of time.,-,-,-,-,-
RET,RET-10,RET-10-10,RET-10-10-10,RET-10-10-10-12,MAXI,"MAXI Zoom Car Junior Toothbrush - Soft Bristles, Comfortable Grip, 2 pcs (Buy 1 Get 1 Free)",Feather-like special super end-rounded bristles ingeniously purposed for baby's delicate gums & teeth. Attractive Car shaped toothbrushes. Soft bristles are easy on the tender mouth tissues of the children. Maxi's toothbrush's comfortable grip helps the kid to clean his/her teeth gently yet thoroughly. Introduce your kid to the fun way of brushing teeth.,2 pcs (Buy 1 Get 1 Free),pcs (Buy  Get  Free),2 pcs (Buy 1 Get 1 Free),2,1,75,75,"Maxi Store : Unit No. 1, B Wing, Upper ground floor, Virwani Industrial Estate, Goregaon East, Mumbai - 400063, Maharashtra",India,['40239261'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40239261_3-maxi-zoom-car-junior-toothbrush-soft-bristles-deep-cleaning-action.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40239261-2_3-maxi-zoom-car-junior-toothbrush-soft-bristles-deep-cleaning-action.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40239261-3_3-maxi-zoom-car-junior-toothbrush-soft-bristles-deep-cleaning-action.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40239261-4_3-maxi-zoom-car-junior-toothbrush-soft-bristles-deep-cleaning-action.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40239261-5_3-maxi-zoom-car-junior-toothbrush-soft-bristles-deep-cleaning-action.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40239261-6_3-maxi-zoom-car-junior-toothbrush-soft-bristles-deep-cleaning-action.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40239261-7_2-maxi-zoom-car-junior-toothbrush-soft-bristles-deep-cleaning-action.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40239261-8_2-maxi-zoom-car-junior-toothbrush-soft-bristles-deep-cleaning-action.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Use twice daily for optimal oral hygiene.,"['EAN Code: 40239261', ': India', 'Manufactured & Marketed by:Maxi Store : Unit No. 1, B Wing, Upper ground floor, Virwani Industrial Estate, Goregaon East, Mumbai - 400063, Maharashtra', 'Country of Origin:India', 'Best before 01-03-2025', '","Maxi Store : Unit No. 1, B Wing, Upper ground floor, Virwani Industrial Estate, Goregaon East, Mumbai - 400063, Maharashtra",-,-,Feather-like special super end-rounded bristles ingeniously purposed for baby‚s delicate gums & teeth. Soft bristles Comfortable handle with grip,-,-,-,-,-
RET,RET-10,RET-10-10,RET-10-10-10,RET-10-10-10-12,Mamaearth,"Mamaearth Baby Lotion - Mineral Based Sunscreen, 0-5 years, 100 ml","Exploring their environment is the first way how a baby is able to understand its surroundings. Mamaearths mineral based sunscreen can help your baby take its first steps into the big world by giving them the sun protection they need. Our sunscreen has the best mineral, Zinc oxide with an SPF level of 20 which makes it the best form of sun protection your baby can get. It provides a waterproof layer of safety which protects the skin from any kind of damage from the harmful UVA & UVB rays. Cocoa and shea butter in our sunscreen moisturises your little ones skin while Aloe Vera extracts help the skin soothe. Our mineral based sunscreen allows your baby to have a fun-filled day full of protection while splashing about in the water. Mamaearths sunscreen comes with a Made Safe Certification and hence is the best sun protection you could choose for your baby.",100 ml,ml,100 ml,1,1,299,281.06,"KAPCO INTERNATIONAL LTD, 1, Parwanoo Sector-3, Parwanoo, Himachal Pradesh 173220",India,['4686617770060'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40102627_2-mamaearth-baby-lotion-mineral-based-sunscreen-0-5-years.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Purified Water, Zinc Oxide, Caprylic Capric Triglyceride, Shea Butter, Cocoa Butter, Olive Oil, Rice Bran Oil, Grapeseed Oil, Wheatgerm Oil, Calendula Extracts, Aloevera Extract, Vitamin E, Sorbitan Olivate, Glyceryl Stearate, Cetyl Alcohol, Potassium sorbate, Sodium benzoate & Lavender Essential Oil, Enriched with our Secret Mamas Love oil",-,Apply on exposed skin before taking the baby out in sun or swimming. Protection lasts for two hours. Do not apply on wounds.,"['EAN Code: 4686617770060', 'Country of origin: India', 'Manufacturer Name & : KAPCO INTERNATIONAL LTD, 1, Parwanoo Sector-3, Parwanoo, Himachal Pradesh 173220', 'Best to use for 12-03-2024', '",-,-,-,-,-,-,-,-,-
RET,RET-10,RET-10-10,RET-10-10-10,RET-10-10-10-12,Mamaearth,"Mamaearth Baby Oil - Soothing Massage, 0-5 years, 100 ml",Massaging your baby is a great way to help them gain mobility faster. Mamaearths soothing massage oil has sesame oil that helps in strengthening the muscles and improves your babys weight gain. Our massage oil also has sweet almond oil that moisturises the skin and gets easily absorbed into it. It also aids in repairing dry skin and improves skin complexion. Jojoba oil aids in minimising the chances of sun damage on your babys skin. Massaging your baby with this 100% natural and MadeSafe certified oil is the best form of love you can give to your baby.,100 ml,ml,100 ml,1,1,299,275.5,"KAPCO INTERNATIONAL LTD, 1, Parwanoo Sector-3, Parwanoo, Himachal Pradesh 173220",India,['8906087770084'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40102630_2-mamaearth-baby-oil-soothing-massage-0-5-years.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Sesame, Olive, Sweet Almond and Jojoba oil.",-,"Massage into babys skin as often as needed, especially after bathing.","['EAN Code: 8906087770084', 'Country of origin: India', 'Manufacturer Name & : KAPCO INTERNATIONAL LTD, 1, Parwanoo Sector-3, Parwanoo, Himachal Pradesh 173220', 'Best to use for 12-03-2024', '",-,-,-,-,-,-,-,-,-
RET,RET-10,RET-10-10,RET-10-10-10,RET-10-10-10-12,Mamaearth,"Mamaearth Baby Shampoo - Gentle Cleansing, 0-5 years, 200 ml","Hi! I am Mama Earths shampoo. I understand that shampooing is no easy task and involves real cleaning. Well, I am here for you. Let your baby enjoy my thick, soft and instant foam while I gently cleanse hair and scalp. My 100% toxin-free formula gives your baby soft and nourished hair. I take special care not to irritate those sensitive eyes and be gentle on skin. You know I would do anything for your little one, do not you?",200 ml,ml,200 ml,1,1,199,193.03,"KAPCO INTERNATIONAL LTD, 1, Parwanoo Sector-3, Parwanoo, Himachal Pradesh 173220",India,['8906087770022'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40102625_2-mamaearth-baby-shampoo-gentle-cleansing-0-5-years.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Purified Water, Decyl Glucoside, Sodium Cocoyl Isethionate, Disodium Cocoamphoacetate, Panthenol, Aloe Vera Extract, Calendula Extracts, Vegetable Glycerin, Xanthan Gum, Potassium Sorbate & Lavender essential Oil, Enriched With Our Secret Mamas Love oil.",-,"Squeeze the soft, instant liquid onto your hands, dilute with water and apply on hair. Lather, giggle and rinse.","['EAN Code: 8906087770022', 'Country of origin: India', 'Manufacturer Name & : KAPCO INTERNATIONAL LTD, 1, Parwanoo Sector-3, Parwanoo, Himachal Pradesh 173220', 'Best to use for 12-03-2024', '",-,-,-,-,-,-,-,-,-
RET,RET-10,RET-10-10,RET-10-10-10,RET-10-10-10-12,Mamaearth,"Mamaearth Body Wash - Deeply Nourishing For Babies, 0-5 years, 200 ml","Bath time is the fun time with the bubbles floating around and water splashing over the tub. Mamaearths nourishing body wash has the best ingredients from nature like Aloe Vera, which helps moisturise and Allantoin, which helps soothe your babys body and wash away the dirt and grime. Glycerin extracted from coconut oil helps in nourishing the skin and increases the moisture content in your babys skin. Orange essential oil not only provides a delightfully delicious bath but also gives your little one a fresh and clean feeling all through the day. Our body wash is MadeSafe Certified which makes it the safest and the best body wash you could choose for your munchkin.",200 ml,ml,200 ml,1,1,199,199,"KAPCO INTERNATIONAL LTD, 1, Parwanoo Sector-3, Parwanoo, Himachal Pradesh 173220",India,['8906087770046'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40102626_2-mamaearth-body-wash-deeply-nourishing-for-babies-0-5-years.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Organic Apple (Fruit) Cider Vinegar to 5% Acid, Manuka Honey, Ginger (Root), Turmeric (Root).",-,"Squeeze the soft, instant liquid onto teh wet washcloth or your hands. Lather, giggle and rinse.","['EAN Code: 8906087770046', 'Country of origin: India', 'Manufacturer Name & : KAPCO INTERNATIONAL LTD, 1, Parwanoo Sector-3, Parwanoo, Himachal Pradesh 173220', 'Best to use for 12-03-2024', '",-,-,-,-,-,-,-,-,-
RET,RET-10,RET-10-10,RET-10-10-10,RET-10-10-10-12,Mamaearth,"Mamaearth Deeply Nourishing Baby Wash, 400 ml","Bath time is a fun time with the bubbles floating around and water splashing over the tub. Mamaearths nourishing body wash has the best ingredients from nature like aloe vera, which helps moisturise and allantoin, which helps soothe your babys body and wash away the dirt and grime. Glycerin extracted from coconut oil helps in nourishing the skin and increases the moisture content in your babys skin. Orange essential oil not only provides a delightfully delicious bath but also gives your little one a fresh and clean feeling all through the day. Our body wash is MadeSafe certified which makes it the safest and the best body wash you could choose for your munchkin.",400 ml,ml,400 ml,1,1,399,371.07,"KAPCO INTERNATIONAL LTD, 1, Parwanoo Sector-3, Parwanoo, Himachal Pradesh 173220",India,['40144736'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40144736_2-mamaearth-deeply-nourishing-baby-wash.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40144736-2_1-mamaearth-deeply-nourishing-baby-wash.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40144736-3_1-mamaearth-deeply-nourishing-baby-wash.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40144736-4_1-mamaearth-deeply-nourishing-baby-wash.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40144736-5_1-mamaearth-deeply-nourishing-baby-wash.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Organic Apple (Fruit) Cider Vinegar to 5% Acid, Manuka Honey, Ginger (Root), Turmeric (Root).",-,"Squeeze the soft, instant liquid onto a wet washcloth or your hands. Lather, giggle and rinse.","['EAN Code: 40144736', 'Marketed By: Honasa Consumer Pvt. Ltd, 2904, Sector 46, Gurgaon, Haryana, 1222002', 'Country of origin: India', 'Best before 01-03-2024', '","Honasa Consumer Pvt. Ltd, 2904, Sector 46, Gurgaon, Haryana, 1222002",-,-,-,-,-,-,-,-
RET,RET-10,RET-10-10,RET-10-10-10,RET-10-10-10-12,Mamaearth,"Mamaearth Easy Tummy Roll on, 40 ml","Hi! I am Mamaearths Easy Tummy Roll On. I understand the pain babies and parents go through because of colic and indigestion. Here I come to your rescue. I am known to be extremely effective in helping babies pass gas easily and sleep peacefully. I contain Hing oil which is known for its ability to reduce reflux that is formed in the stomach. I am a blend of essential oils like Fennel Oil, Peppermint Oil, Ginger Oil and Dill Seed Oil which gives relief from stomach aches and bloating. I am 100% natural with no preservatives, alcohol or any other harmful chemicals.",40 ml,ml,40 ml,1,1,249,244.02,"KAPCO INTERNATIONAL LTD, 1, Parwanoo Sector-3, Parwanoo, Himachal Pradesh 173220",India,['40144726'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40144726_2-mamaearth-easy-tummy-roll-on.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40144726-2_1-mamaearth-easy-tummy-roll-on.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40144726-3_1-mamaearth-easy-tummy-roll-on.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40144726-4_1-mamaearth-easy-tummy-roll-on.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40144726-5_1-mamaearth-easy-tummy-roll-on.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Caprylic/Capric Triglycerides, Hing Oil, Olive Oil, Fennel Oil, Peppermint Oil.",-,Apply directly on stomach around the naval area. Apply every 20-30 minutes until symptoms subside and then every couple of hours as needed till the baby gets better.,"['EAN Code: 40144726', 'Marketed By: Honasa Consumer Pvt. Ltd, 2904, Sector 46, Gurgaon, Haryana, 1222002', 'Country of origin: India', 'Best before 01-03-2024', '","Honasa Consumer Pvt. Ltd, 2904, Sector 46, Gurgaon, Haryana, 1222002",-,-,-,-,-,-,-,-
RET,RET-10,RET-10-10,RET-10-10-10,RET-10-10-10-12,Mamaearth,"Mamaearth Easy Tummy Roll on, 40 ml","Hi! I am Mamaearths Easy Tummy Roll On. I understand the pain babies and parents go through because of colic and indigestion. Here I come to your rescue. I am known to be extremely effective in helping babies pass gas easily and sleep peacefully. I contain Hing oil which is known for its ability to reduce reflux that is formed in the stomach. I am a blend of essential oils like Fennel Oil, Peppermint Oil, Ginger Oil and Dill Seed Oil which gives relief from stomach aches and bloating. I am 100% natural with no preservatives, alcohol or any other harmful chemicals.",40 ml,ml,40 ml,1,1,249,244.02,"KAPCO INTERNATIONAL LTD, 1, Parwanoo Sector-3, Parwanoo, Himachal Pradesh 173220",India,['40144726'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40144726_2-mamaearth-easy-tummy-roll-on.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40144726-2_1-mamaearth-easy-tummy-roll-on.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40144726-3_1-mamaearth-easy-tummy-roll-on.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40144726-4_1-mamaearth-easy-tummy-roll-on.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40144726-5_1-mamaearth-easy-tummy-roll-on.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Caprylic/Capric Triglycerides, Hing Oil, Olive Oil, Fennel Oil, Peppermint Oil.",-,Apply directly on stomach around the naval area. Apply every 20-30 minutes until symptoms subside and then every couple of hours as needed till the baby gets better.,"['EAN Code: 40144726', 'Marketed By: Honasa Consumer Pvt. Ltd, 2904, Sector 46, Gurgaon, Haryana, 1222002', 'Country of origin: India', 'Best before 01-03-2024', '","Honasa Consumer Pvt. Ltd, 2904, Sector 46, Gurgaon, Haryana, 1222002",-,-,-,-,-,-,-,-
RET,RET-10,RET-10-10,RET-10-10-10,RET-10-10-10-12,Mamaearth,"Mamaearth Fruit Punch Toothpaste For Kids, 50 g","""Hi! I am Mamaearth Fruit Punch Toothpaste. I love to see your kids smile. I am Fluoride & SLS free, so you don‚t need to worry if more toothpaste ends up in your kid‚s tummy than in the sink. I remove plaque and taste awesome thanks to my yummy fruity flavour. I am thoughtfully formulated with high-quality ingredients like sorbitol, silica, and glycerin. Introduce me to your kids and I will strengthen gums and be best friends with them forever. """,50 g,g,50 g,1,1,149,149,"Risiveda Herbal Products Pvt. Ltd,Plot No. 30 A, Sector - 11,IIE, SIDCUL - Haridwar - 249403, Uttarakhand",India,['40202610'],['10012022000719'],https://datalabs.siva3.io/image/Eunimart_groceries_40202610_1-mamaearth-fruit-punch-toothpaste-for-kids.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40202610-2_1-mamaearth-fruit-punch-toothpaste-for-kids.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40202610-3_1-mamaearth-fruit-punch-toothpaste-for-kids.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40202610-4_1-mamaearth-fruit-punch-toothpaste-for-kids.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"""Step 1: Ensure your children brush their teeth every morning & evening, or after every meal.
Step 2: Children should use a pea-sized amount of toothpaste for supervised brushing to minimize swallowing.
Step 3: Gently brush gums & teeth in a circular motion. Step 4: Rinse, gargle & giggle. ""","['EAN Code: 40202610', 'FSSAI Number: 10012022000719', 'Manufacturer Name & : Risiveda Herbal Products Pvt. Ltd,Plot No. 30 A, Sector - 11,IIE, SIDCUL - Haridwar - 249403, Uttarakhand', 'Marketed by: Honasa Consumer Pvt Ltd ,Plot No.63, 4th Floor, Sector-44, Gurgaon, Sector-44, Gurgaon, Gurgaon, Haryana, 122003', 'Country of Origin: India', 'Best before 01-03-2024', '","Honasa Consumer Pvt Ltd ,Plot No.63, 4th Floor, Sector-44, Gurgaon, Sector-44, Gurgaon, Gurgaon, Haryana, 122003",-,-,-,"Aqua, Sorbitol, Silica, Decyl Glucoside, Glycerin, Propylene Glycol, Xanthan Gum, Sodium Saccharin, Sodium Benzoate & Natural Fruit Punch Flavour",-,-,-,-
