L0 Domain,L1 Sub-Domain,L2 Category,L3 Sub-Category,L4 Product Enum-Code,Brand,Product Name,Product Description,Product Quantity,UOM,Net Quantity,Pack Quantity,Pack Size,MRP,Price,Manufacturer,Country Of Origin,UPC/EAN,FSSAI no,Images,Images / Video,Images.3,Images.4,Images.5,Images.6,Images.7,Images.8,Images.9,SKU Code,Customer Care Contact,Time to Ship,Returnable (Y/N),Cancellable (Y/N),COD available (Y/N),Preservatives (Y/N),Preservatives (details),Flavours & Spices,Ready to cook (Y/N),Ready to eat (Y/N),Rice grain type,Recommended Age,Scented/ Flavour,Herbal/ Ayurvedic,Theme/ Occasion Type,Hair Type,Mineral Source,Caffeine Content,Capacity,Composition,Benefits,Usage,Other details,Marketed By,Baby Weight,Absorption Duration (in Hrs),Care Instruction,Specification,From The Brand
RET,RET-10,RET-10-19,RET-10-19-10,RET-10-19-10-10,HAZEL,"HAZEL Stainless Steel Deluxe Bhojan Patra S13 - With 4 Compartment, Durable, 1 pc","Hazel compartment plate can be used to serve roti, sabzi & pickle in one go. It is an ideal plate to serve various cuisine of food like pav bhaji, puri bhaji, pulao etc on the dining table. It is available in multiple sizes according to the needs of the kitchen. Easy to clean and wash. They have very exotic silver shining. Highly durable and made of fine quality stainless steel.",1 pc,pc,1 pc,1,1,395,249,"Value Retail, F3-12 Bhumi World Industrial Park, Pimplas Village, Mumbai - Nasik Highway, Bhiwandi Thane 421302",India,['40271783'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40271783_1-hazel-stainless-steel-deluxe-bhojan-patra-s13-with-4-compartment-durable.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40271783-2_1-hazel-stainless-steel-deluxe-bhojan-patra-s13-with-4-compartment-durable.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Rust proof
Easy to use
Easy to clean
Stainless steel
Multipurpose",This plate is suitable for lunch and dinner.,"['EAN Code: 40271783', 'Manufactured & Marketed by: Value Retail, F3-12 Bhumi World Industrial Park, Pimplas Village, Mumbai - Nasik Highway, Bhiwandi Thane 421302', 'Country of origin: India', 'Best before __PSL__ days from the date of delivery',  | ]","Value Retail, F3-12 Bhumi World Industrial Park, Pimplas Village, Mumbai - Nasik Highway, Bhiwandi Thane 421302",-,-,-,"Brand:- HAZEL
Type:- Mess Plate
Material:- Stainless Steel
Colour:- Silver
Dimensions :- 290x290x20 mm
Package Content:- 1 pc Dinner Plate",-
RET,RET-10,RET-10-19,RET-10-19-10,RET-10-19-10-10,HAZEL,"HAZEL Stainless Steel Deluxe Bhojan Patra S14 - With 4 Compartment, Durable, 1 pc","Hazel compartment plate can be used to serve roti, sabzi & pickle in one go. It is an ideal plate to serve various cuisine of food like pav bhaji, puri bhaji, pulao etc on the dining table. It is available in multiple sizes according to the needs of the kitchen. Easy to clean and wash. They have very exotic silver shining. Highly durable and made of fine quality stainless steel.",1 pc,pc,1 pc,1,1,499,299,"Value Retail, F3-12 Bhumi World Industrial Park, Pimplas Village, Mumbai - Nasik Highway, Bhiwandi Thane 421302",India,['40271784'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40271784_1-hazel-stainless-steel-deluxe-bhojan-patra-s14-with-4-compartment-durable.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40271784-2_1-hazel-stainless-steel-deluxe-bhojan-patra-s14-with-4-compartment-durable.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Rust proof
Easy to use
Easy to clean
Stainless steel
Multipurpose",This plate is suitable for lunch and dinner.,"['EAN Code: 40271784', 'Manufactured & Marketed by: Value Retail, F3-12 Bhumi World Industrial Park, Pimplas Village, Mumbai - Nasik Highway, Bhiwandi Thane 421302', 'Country of origin: India', 'Best before __PSL__ days from the date of delivery',  | ]","Value Retail, F3-12 Bhumi World Industrial Park, Pimplas Village, Mumbai - Nasik Highway, Bhiwandi Thane 421302",-,-,-,"Brand:- HAZEL
Type:- Mess Plate
Material:- Stainless Steel
Colour:- Silver
Dimensions :- 310x310x20 mm
Package Content:- 1 pc Dinner Plate",-
RET,RET-10,RET-10-19,RET-10-19-10,RET-10-19-10-10,HAZEL,"HAZEL Stainless Steel Dinner Plate With 2 Sections - Rectangular, Divided Mess Trays, Silver, 2 pcs","If you're on the lookout for plates that are long-lasting and add to your dining aesthetic, the HAZEL Stainless Steel Rectangle Dinner Plates are the ones for you. Coming in a set of 2, these plates are made from top-notch stainless steel. They're resistant to both rust and corrosion, ensuring that they remain damage-free for longer. Each plate is also divided into 2 sections, so you're able to eat a variety of foods on the same plate. It's perfect for kids or picky eaters who don't want their food to touch. Use them at the home, office or at cafeterias, for a seamless dining experience. Their compact and stackable design allows for effortless storage as well. Explore the full range of HAZEL products, from tiffin containers to cups and saucers, only on Big Basket.",2 pcs,pcs,2 pcs,2,1,349.07,229,"Value Retail, F3-12 Bhumi World Industrial Park, Pimplas Village, Mumbai - Nasik Highway, Bhiwandi Thane 421302",India,['40243670'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40243670_3-hazel-stainless-steel-dinner-plate-with-2-sections-rectangular-divided-mess-trays-silver.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40243670-2_3-hazel-stainless-steel-dinner-plate-with-2-sections-rectangular-divided-mess-trays-silver.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40243670-3_3-hazel-stainless-steel-dinner-plate-with-2-sections-rectangular-divided-mess-trays-silver.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40243670-4_3-hazel-stainless-steel-dinner-plate-with-2-sections-rectangular-divided-mess-trays-silver.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40243670-5_3-hazel-stainless-steel-dinner-plate-with-2-sections-rectangular-divided-mess-trays-silver.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Made of high-quality food-grade stainless steel with mirror finish
Does not stain or retain any odours or flavours
Has two sections to serve different kinds of food on a single plate
Easy to use and clean
Durable and long-lasting
Infinitely reusable",-,"['EAN Code: 40243670', 'Manufactured & Marketed By: Value Retail, F3-12 Bhumi World Industrial Park, Pimplas Village, Mumbai - Nasik Highway, Bhiwandi Thane 421302', 'Country of Origin: India',  | ]","Value Retail, F3-12 Bhumi World Industrial Park, Pimplas Village, Mumbai - Nasik Highway, Bhiwandi Thane 421302",-,-,-,"Brand - HAZEL
Type - Snack Plate
Material - Stainless Steel
Material Grade - Stainless Steel
Thickness - NA
Color - Silver
Non-Stick - No
Induction Friendly - No
Handle Material - NA
Handle Included - NA
Capacity - NA
Lid Included - NA
Lid Material - NA
Package Content - Set of 2 Dual Compartment Plate ""Spoon Free""",-
RET,RET-10,RET-10-19,RET-10-19-10,RET-10-19-10-10,HAZEL,"HAZEL Stainless Steel Dinner Set - Full & Quarter Plates, Glasses, Bowls, Spoons & Forks, Silver, 24 Pcs","Hazel Stainless Steel Dinner Set that contains 4-Piece full Plates, 4-Piece Quarter Plates, 4-Piece Veg Bowls, 4-Piece Glasses, 4-Piece Forks, 4-Piece Spoons. It is made of 100% food-grade material. It is a non-porous, hygienic dinnerware solution for your family. This set is easy to clean and non-stain. It has a unique modern design and vibrant prints on smooth super white surfaces. It is a stackable dinnerware that is easy to store as it does not take much space. They are microwave safe, lightweight and dishwasher safe.",24 Pcs,Pcs,24 Pcs,24,1,1499,1049,"Value Retail, F3-12 Bhumi World Industrial Park, Pimplas Village, Mumbai - Nasik Highway, Bhiwandi Thane 421302",India,['40274139'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40274139_3-hazel-hazel-stainless-steel-24-pc-dinner-set-silver.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40274139-2_1-hazel-hazel-stainless-steel-24-pc-dinner-set-silver.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40274139-3_1-hazel-hazel-stainless-steel-24-pc-dinner-set-silver.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Made 100% Food Grade material.
Durable and stable.
Safe to use.
Made to last long.
Sturdy, hygienic, food-safe, scratch-resistant and dishwasher are safe.
Microwave safe.
Rust Free.","Great gift for any festive occasion like Diwali, house-warming function, wedding ceremony, etc.
Use it for a special occasion or for everyday use.","['EAN Code: 40274139', 'Manufacturer Name & Marketed by Address:Value Retail, F3-12 Bhumi World Industrial Park, Pimplas Village, Mumbai - Nasik Highway, Bhiwandi Thane 421302', 'Country of Origin:India',  | ]","Value Retail, F3-12 Bhumi World Industrial Park, Pimplas Village, Mumbai - Nasik Highway, Bhiwandi Thane 421302",-,-,-,"Brand:-HAZEL
Type:- Dinner Set
Material:-Stainless Steel
Colour:-Silver
Dimensions in mm (LXWXH):-270x270x906
Package Content:- 4 Pcs Full plate, 4 Pcs Dessert plate, 4 Pcs Bowl, 4 Pcs Glass, 4 Pcs Dinner Spoon & 4 Pcs Fork",-
RET,RET-10,RET-10-19,RET-10-19-10,RET-10-19-10-10,HAZEL,"HAZEL Stainless Steel Double Wall Green Tea/Coffee Sobar Mug - Big, 300 ml","Hazel Stainless Steel Double Wall Green Tea Coffee Big Sobar Mug is made high-quality stainless steel. These coffee mugs have a great design and have a great handle. It is light in weight, easy to handle and has a comfortable grip. It is easy to clean and wash. Now serve hot cups of tea/coffee or any refreshment of your choice. These mugs are ideal to serve coffee and tea. It comes in 300 ml. It also makes a perfect gifting option on a special occasion to your friends and family.",300 ml,ml,300 ml,1,1,409,409,"Value Retail, F3-12 Bhumi World Industrial Park, Pimplas Village, Mumbai - Nasik Highway, Bhiwandi Thane 421302",India,['40226573'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40226573_1-hazel-stainless-steel-double-wall-green-teacoffee-sobar-mug-big.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40226573-2_1-hazel-stainless-steel-double-wall-green-teacoffee-sobar-mug-big.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1. It is made using high-quality stainless steel.
2. It is highly durable ensures stability.
3. Stylish look and perfect for gifting.
4. It is easy to clean and wash.
5. The handle gives a comfortable and firm grip.",-,"['EAN Code: 40226573', 'Manufacturer Name & Marketed by Address:Value Retail, F3-12 Bhumi World Industrial Park, Pimplas Village, Mumbai - Nasik Highway, Bhiwandi Thane 421302', 'Country of Origin:India',  | Address: Innovative Retail Concepts Private Limited, Ranka Junction 4th Floor, Tin Factory bus stop. KR Puram, Bangalore - 560016 Email:customerservice@bigbasket.com , Helpline number: 96194 07704.']","Value Retail, F3-12 Bhumi World Industrial Park, Pimplas Village, Mumbai - Nasik Highway, Bhiwandi Thane 421302",-,-,-,"1. Brand :- HAZEL.
2. Type :- Coffee Mug.
3. Material :- Stainless Steel.
4. Colour :- Silver.
5. Weight :- 179 gram.
6. Capacity :- 300 ML.
7. Features :- Easy to Clean, Made up of high quality food grade stainless steel, Premium Quality Mug, It is ideal for daily use.
8. Material Grade :- Stainless Steel
9. Thickness :- No.
10. Non-Stick :- No.
11. Induction Friendly :- No.
12. Handle Material :- NA.
13. Handle Included :- No.
14. Lid Included :- No.
15. Lid Material :- NA.
16. Package Content :- 1 Pc HAZEL Stainless Steel Green Tea Coffee Big Sobar Mug.",-
RET,RET-10,RET-10-19,RET-10-19-10,RET-10-19-10-10,HAZEL,"HAZEL Stainless Steel Drinking Glasses - Matte Finish, Designer, For Everyday Use, Silver, 260 ml (Set of 3)","Say 'no' to plastic cups and 'yes' to recyclable and safe stainless steel glasses from HAZEL. Sturdy, long-lasting and attractive, these glasses are a perfect match for any of your hot or cold beverages, think coffee, tea, juice or plain and simple water. Explore a range of HAZEL products from mugs to Tawas, glasses, lunch boxes and more on BigBasket.",260 ml (Set of 3),ml (Set of ),260 ml (Set of 3),1,1,579,349,"Value Retail, F3-12 Bhumi World Industrial Park, Pimplas Village, Mumbai - Nasik Highway, Bhiwandi Thane 421302",India,['40243714'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40243714_1-hazel-stainless-steel-drinking-glasses-matte-finish-designer-for-everyday-use-silver.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40243714-2_1-hazel-stainless-steel-drinking-glasses-matte-finish-designer-for-everyday-use-silver.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40243714-3_1-hazel-stainless-steel-drinking-glasses-matte-finish-designer-for-everyday-use-silver.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Eco-friendly
Rust resistant
Dishwasher safe
Made of stainless steel
Durable
Elegant design",-,"['EAN Code: 40243714', 'Manufactured & Marketed By: Value Retail, F3-12 Bhumi World Industrial Park, Pimplas Village, Mumbai - Nasik Highway, Bhiwandi Thane 421302', 'Country of Origin: India',  | ]","Value Retail, F3-12 Bhumi World Industrial Park, Pimplas Village, Mumbai - Nasik Highway, Bhiwandi Thane 421302",-,-,-,"Brand - HAZEL
Type - Glasses
Material - Stainless Steel
Material Grade - Stainless Steel
Thickness - NA
Colour - Silver
Non-Stick - No
Induction Friendly - No
Handle Material - NA
Handle Included - NA
Capacity - NA
Lid Included - NA
Lid Material - NA
Package Content - 3 pcs Glasses, 260 ML",-
RET,RET-10,RET-10-19,RET-10-19-10,RET-10-19-10-10,HAZEL,"HAZEL Stainless Steel Ghee Pot - Apple Shaped, Kitchen Storage Ghee, Serving Container, 250 ml (1 pc)","Ghee is an important ingredient in Indian cooking, so you need to be able to store it in a container that keeps it pure and uncontaminated. The HAZEL Stainless Steel Oil Pot is designed to hold 250 ml of ghee, without any leakage or dripping. Crafted from 100% stainless steel, it is both durable and long-lasting. It also comes with a spoon, so that you can pour your ghee into any dish easily and efficiently. Its compact and lightweight design also makes it ideal to store in any part of the kitchen. Explore the full range of HAZEL products, from tiffin containers to cups and saucers, only on Big Basket.",250 ml (1 pc),ml ( pc),250 ml (1 pc),1,1,1119,379,"Value Retail, F3-12 Bhumi World Industrial Park, Pimplas Village, Mumbai - Nasik Highway, Bhiwandi Thane 421302",India,['40243683'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40243683_2-hazel-stainless-steel-ghee-pot-apple-shaped-kitchen-storage-ghee-serving-container.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40243683-2_2-hazel-stainless-steel-ghee-pot-apple-shaped-kitchen-storage-ghee-serving-container.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40243683-3_2-hazel-stainless-steel-ghee-pot-apple-shaped-kitchen-storage-ghee-serving-container.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40243683-4_1-hazel-stainless-steel-ghee-pot-apple-shaped-kitchen-storage-ghee-serving-container.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Made with state-of-the-art stainless steel
Coated with food-grade colour for an attractive sheen
Leak-proof for a clean and seamless experience
Includes a spoon for efficient use in the kitchen",-,"[{'EAN Code': '40243683'}, {'Manufactured & Marketed By': 'Value Retail, F3-12 Bhumi World Industrial Park, Pimplas Village, Mumbai - Nasik Highway, Bhiwandi Thane 421302'}, {'Country of Origin': 'India'}]","Value Retail, F3-12 Bhumi World Industrial Park, Pimplas Village, Mumbai - Nasik Highway, Bhiwandi Thane 421302",-,-,-,"Material- Stainless Steel
Thickness-NA
Color-Silver
Non-stick-No
Induction Friendly-No
Handle Material-NA
Handle Included-NA
Capacity-NA
Lid Included-NA
Lid Material-NA
Package Content- 1 pc Ghee Pot",-
RET,RET-10,RET-10-19,RET-10-19-10,RET-10-19-10-10,HAZEL,"HAZEL Stainless Steel Ghee/ Oil Pot - Orange Shaped, Kitchen Storage For Storing, Serving, 320 ml (1 pc)","Store your ghee in a hassle-free and leak-proof container, like the HAZEL Stainless Steel Oil Pot. Coated with food-grade colour and made with food-grade stainless steel, this 320 ml oil pot looks as great as it functions. The stainless steel is durable and strong, and can therefore be used for a long time. It's also resistant to drippage and leaking, ensuring that your cooking experience is clean. Explore the full range of HAZEL products, from tiffin containers to cups and saucers, only on Big Basket.",320 ml (1 pc),ml ( pc),320 ml (1 pc),1,1,1079,379,"Value Retail, F3-12 Bhumi World Industrial Park, Pimplas Village, Mumbai - Nasik Highway, Bhiwandi Thane 421302",India,['80487368'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40243684_1-hazel-stainless-steel-ghee-oil-pot-orange-shaped-kitchen-storage-for-storing-serving.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40243684-2_1-hazel-stainless-steel-ghee-oil-pot-orange-shaped-kitchen-storage-for-storing-serving.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40243684-3_1-hazel-stainless-steel-ghee-oil-pot-orange-shaped-kitchen-storage-for-storing-serving.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Made with state-of-the-art stainless steel
Coated with food-grade colour for an attractive sheen
Leak-proof for a clean and seamless experience
Includes a spoon for efficient use in the kitchen",-,"['EAN Code: 80487368', 'Manufactured & Marketed By: Value Retail, F3-12 Bhumi World Industrial Park, Pimplas Village, Mumbai - Nasik Highway, Bhiwandi Thane 421302', 'Country of Origin: India',  | ]","Value Retail, F3-12 Bhumi World Industrial Park, Pimplas Village, Mumbai - Nasik Highway, Bhiwandi Thane 421302",-,-,-,"Material- Stainless Steel
Thickness-NA
Color-Silver
Non-stick-No
Induction Friendly-No
Handle Material-NA
Handle Included-NA
Capacity-NA
Lid Included-NA
Lid Material-NA
Package Content- 1 pc Ghee Pot",-
RET,RET-10,RET-10-19,RET-10-19-10,RET-10-19-10-10,HAZEL,"HAZEL Stainless Steel Glossy Finish See Through Container - Silver, 1.2 L (Set of 2)","1. It has a transparent see through panel which helps you to identify the content.
2. It is made from high quality stainless steel.
3. It is a multipurpose container.",1.2 L (Set of 2),L (Set of ),1.2 L (Set of 2),1,1,1999,729,"Value Retail, F3-12 Bhumi World Industrial Park, Pimplas Village, Mumbai - Nasik Highway, Bhiwandi Thane 421302",India,['40210828'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40210828_3-hazel-stainless-steel-glossy-finish-see-through-container-silver.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40210828-2_3-hazel-stainless-steel-glossy-finish-see-through-container-silver.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40210828-3_3-hazel-stainless-steel-glossy-finish-see-through-container-silver.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40210828-4_3-hazel-stainless-steel-glossy-finish-see-through-container-silver.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40210828-5_3-hazel-stainless-steel-glossy-finish-see-through-container-silver.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1. It has a transparent see through panel which helps you to identify the content.
2. It is made from high quality stainless steel.
3. It is a multipurpose container.",-,"['EAN Code: 40210828', 'Manufactured & Marketed By: Value Retail, F3-12 Bhumi World Industrial Park, Pimplas Village, Mumbai - Nasik Highway, Bhiwandi Thane 421302', 'Country of Origin: India',  | ]","Value Retail, F3-12 Bhumi World Industrial Park, Pimplas Village, Mumbai - Nasik Highway, Bhiwandi Thane 421302",-,-,-,"1. Material: Stainless Steel.
2. Capacity: 1200Ml.
3. Features: The modern design see through canister container is perfect, For your beautiful home and kitchen, Ideal for multipurpose storing.
4. Type: Container.
5. Colour: Silver.
6. Brand: HAZEL.","About the Product

Hazel Stainless Steel Transparent Glossy Container is useful to store all your cooking essentials and see the contents of the jar through a visible transparent see through window. It makes it easy for you to check supply levels of food inside containers. It is made from high quality food grade stainless steel container which ensures strength and quality. This modern design see through container is perfect for your beautiful home and kitchen. It is ideal for storing tea, sugar, coffee powder, spices, dry fruits, biscuits, candies, namkeen and cooking essentials. It is a set of 2 containers."
RET,RET-10,RET-10-19,RET-10-19-10,RET-10-19-10-10,HAZEL,"HAZEL Stainless Steel Green Tea/Coffee Aishwarya Mug - Big, 300 ml","Hazel Stainless Steel Green Tea Coffee Big Aishwarya Mug is made of high-quality stainless steel. These coffee mugs have a great design and have a great handle. It is light in weight, easy to handle and has a comfortable grip. It is easy to clean and wash. Now serve hot cups of tea/coffee or any refreshment of your choice. These mugs are ideal to serve coffee and tea. It comes in 300 ml. It also makes a perfect gifting option on a special occasion to your friends and family.",300 ml,ml,300 ml,1,1,429,229,"Value Retail, F3-12 Bhumi World Industrial Park, Pimplas Village, Mumbai - Nasik Highway, Bhiwandi Thane 421302",India,['40226569'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40226569_1-hazel-stainless-steel-green-teacoffee-aishwarya-mug-big.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1. It is made using high-quality stainless steel.
2. It is highly durable ensures stability.
3. Stylish look and perfect for gifting.
4. It is easy to clean and wash.
5. The handle gives a comfortable and firm grip.",-,"['EAN Code: 40226569', 'Manufacturer Name & Marketed by Address:Value Retail, F3-12 Bhumi World Industrial Park, Pimplas Village, Mumbai - Nasik Highway, Bhiwandi Thane 421302', 'Country of Origin:India',  | Address: Innovative Retail Concepts Private Limited, Ranka Junction 4th Floor, Tin Factory bus stop. KR Puram, Bangalore - 560016 Email:customerservice@bigbasket.com , Helpline number: 96194 07704.']","Value Retail, F3-12 Bhumi World Industrial Park, Pimplas Village, Mumbai - Nasik Highway, Bhiwandi Thane 421302",-,-,-,"1. Brand :- HAZEL.
2. Type :- Coffee Mug.
3. Material :- Stainless Steel.
4. Colour :- Silver.
5. Weight :- 179 gram.
6. Capacity :- 300 ML.
7. Features :- Easy to Clean, Made up of high quality food grade stainless steel, Premium Quality Mug, It is ideal for daily use.
8. Material Grade :- Stainless Steel
9. Thickness :- No.
10. Non-Stick :- No.
11. Induction Friendly :- No.
12. Handle Material :- NA.
13. Handle Included :- No.
14. Lid Included :- No.
15. Lid Material :- NA.
16. Package Content :- 1 Pc HAZEL Stainless Steel Green Tea Coffee Big Aishwarya Mug.",-
RET,RET-10,RET-10-19,RET-10-19-10,RET-10-19-10-10,HAZEL,"HAZEL Stainless Steel Green Tea/Coffee Amrapali Mug, 300 ml","Hazel Stainless Steel Green Tea Coffee Amrapali Mug is made high-quality stainless steel. These coffee mugs have a great design and have a great handle. It is light in weight, easy to handle and has a comfortable grip. It is easy to clean and wash. Now serve hot cups of tea/coffee or any refreshment of your choice. These mugs are ideal to serve coffee and tea. It comes in 300 ml. It also makes a perfect gifting option on a special occasion to your friends and family.",300 ml,ml,300 ml,1,1,399,199,"Value Retail, F3-12 Bhumi World Industrial Park, Pimplas Village, Mumbai - Nasik Highway, Bhiwandi Thane 421302",India,['40226568'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40226568_1-hazel-stainless-steel-green-teacoffee-amrapali-mug.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1. It is made using high-quality stainless steel.
2. It is highly durable ensures stability.
3. Stylish look and perfect for gifting.
4. It is easy to clean and wash.
5. The handle gives a comfortable and firm grip.",-,"['EAN Code: 40226568', 'Manufacturer Name & Marketed by Address:Value Retail, F3-12 Bhumi World Industrial Park, Pimplas Village, Mumbai - Nasik Highway, Bhiwandi Thane 421302', 'Country of Origin:India',  | Address: Innovative Retail Concepts Private Limited, Ranka Junction 4th Floor, Tin Factory bus stop. KR Puram, Bangalore - 560016 Email:customerservice@bigbasket.com , Helpline number: 96194 07704.']","Value Retail, F3-12 Bhumi World Industrial Park, Pimplas Village, Mumbai - Nasik Highway, Bhiwandi Thane 421302",-,-,-,"1. Brand :- HAZEL.
2. Type :- Coffee Mug.
3. Material :- Stainless Steel.
4. Colour :- Silver.
5. Weight :- 179 gram.
6. Capacity :- 300 ML.
7. Features :- Easy to Clean, Made up of high quality food grade stainless steel, Premium Quality Mug, It is ideal for daily use.
8. Material Grade :- Stainless Steel
9. Thickness :- No.
10. Non-Stick :- No.
11. Induction Friendly :- No.
12. Handle Material :- NA.
13. Handle Included :- No.
14. Lid Included :- No.
15. Lid Material :- NA.
16. Package Content :- 1 Pc HAZEL Stainless Steel Green Tea Coffee Amrapali Mug.",-
RET,RET-10,RET-10-19,RET-10-19-10,RET-10-19-10-10,HAZEL,"HAZEL Stainless Steel Green Tea/Coffee Cute Plain Mug - Big, 300 ml","Hazel Stainless Steel Green Tea Coffee Big Cute Plain Mug is made high-quality stainless steel. These coffee mugs have a great design and have a great handle. It is light in weight, easy to handle and has a comfortable grip. It is easy to clean and wash. Now serve hot cups of tea/coffee or any refreshment of your choice. These mugs are ideal to serve coffee and tea. It comes in 300 ml. It also makes a perfect gifting option on a special occasion to your friends and family.",300 ml,ml,300 ml,1,1,409,179,"Value Retail, F3-12 Bhumi World Industrial Park, Pimplas Village, Mumbai - Nasik Highway, Bhiwandi Thane 421302",India,['40226571'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40226571_1-hazel-stainless-steel-green-teacoffee-cute-plain-mug-big.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40226571-2_1-hazel-stainless-steel-green-teacoffee-cute-plain-mug-big.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1. It is made using high-quality stainless steel.
2. It is highly durable ensures stability.
3. Stylish look and perfect for gifting.
4. It is easy to clean and wash.
5. The handle gives a comfortable and firm grip.",-,"['EAN Code: 40226571', 'Manufacturer Name & Marketed by Address:Value Retail, F3-12 Bhumi World Industrial Park, Pimplas Village, Mumbai - Nasik Highway, Bhiwandi Thane 421302', 'Country of Origin:India',  | Address: Innovative Retail Concepts Private Limited, Ranka Junction 4th Floor, Tin Factory bus stop. KR Puram, Bangalore - 560016 Email:customerservice@bigbasket.com , Helpline number: 96194 07704.']","Value Retail, F3-12 Bhumi World Industrial Park, Pimplas Village, Mumbai - Nasik Highway, Bhiwandi Thane 421302",-,-,-,"1. Brand :- HAZEL.
2. Type :- Coffee Mug.
3. Material :- Stainless Steel.
4. Colour :- Silver.
5. Weight :- 175 gram.
6. Capacity :- 300 ML.
7. Features :- Easy to Clean, Made up of high quality food grade stainless steel, Premium Quality Mug, It is ideal for daily use.
8. Material Grade :- Stainless Steel
9. Thickness :- No.
10. Non-Stick :- No.
11. Induction Friendly :- No.
12. Handle Material :- NA.
13. Handle Included :- No.
14. Lid Included :- No.
15. Lid Material :- NA.
16. Package Content :- 1 Pc HAZEL Stainless Steel Green Tea Coffee Big Cute Plain Mug.",-
